final_step,count,probability,geometric_fit
1,2570,0.257,0.28225465014536116
2,1912,0.1912,0.20258696261668094
3,1686,0.1686,0.14540585035929832
4,1121,0.1121,0.10436437293704584
5,859,0.0859,0.07490704336605997
6,572,0.0572,0.053764182047349326
7,405,0.0405,0.038588991653223235
8,256,0.0256,0.027697069314680453
9,206,0.0206,0.019879442705213503
10,128,0.0128,0.014268377559368715
11,95,0.0095,0.010241061643207178
12,61,0.0061,0.007350474371986659
13,44,0.0044,0.005275768799719121
14,23,0.0023,0.003786658522906589
15,18,0.0018,0.0027178565463036397
16,13,0.0013,0.0019507288976814265
17,15,0.0015,0.0014001265951379095
18,5,0.0005,0.0010049343528680432
19,1,0.0001,0.0007212869586802189
20,3,0.0003,0.0005177003605035222
21,0,0.0,0.0003715770263694732
22,0,0.0,0.0002666976827895039
23,2,0.0002,0.00019142102163917398
24,1,0.0001,0.00013739154814594134
25,1,0.0001,9.861214479107913e-05
26,2,0.0002,7.07784083629894e-05
27,0,0.0,5.0800873472648325e-05
28,0,0.0,3.646209070354721e-05
29,1,0.0001,2.6170496048449074e-05
