step,mean_r2,mean_r,std_r2,std_r,n_alive,trapped_rate,mean_rg2,std_rg2,mean_r2_all,mean_rg2_all,min_r2,max_r2,se_r2,cv_r2
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,1.0000000000,1.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.2500000000,0.0000000000,1.0000000000,0.2500000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
2,2.6600000000,1.6075230868,0.9404254356,0.2754442329,10000,0.0000000000,0.5177777778,0.1044917151,2.6600000000,0.5177777778,2.0000000000,4.0000000000,0.0094042544,0.3535433969
3,4.5544000000,2.0481819528,2.2328100322,0.5994586627,10000,0.0000000000,0.8049000000,0.2102120715,4.5544000000,0.8049000000,1.0000000000,9.0000000000,0.0223281003,0.4902533884
4,6.7434000000,2.4961387103,3.5336887865,0.7160248172,10000,0.0000000000,1.1284320000,0.3062745523,6.7434000000,1.1284320000,2.0000000000,16.0000000000,0.0353368879,0.5240218268
5,8.9500000000,2.8435718577,5.1199121086,0.9295693035,10000,0.0000000000,1.4630555556,0.4248237652,8.9500000000,1.4630555556,1.0000000000,25.0000000000,0.0511991211,0.5720572188
6,11.3862000000,3.2026624757,6.7980916116,1.0626161428,10000,0.0000000000,1.8228571429,0.5541901273,11.3862000000,1.8228571429,2.0000000000,36.0000000000,0.0679809161,0.5970465662
7,13.7364000000,3.4908456069,8.5956334868,1.2451493681,10000,0.0000000000,2.1889937500,0.6979857426,13.7364000000,2.1889937500,1.0000000000,49.0000000000,0.0859563349,0.6257559103
8,16.3986764264,3.8162849186,10.4930246298,1.3544909916,9973,0.0027000000,2.5785447870,0.8472430633,16.3571000000,2.5748733410,2.0000000000,64.0000000000,0.1050721896,0.6398702162
9,19.0164890408,4.0899155775,12.5081967728,1.5129704591,9946,0.0054000000,2.9783611502,1.0062179042,18.9239000000,2.9693661559,1.0000000000,65.0000000000,0.1254210630,0.6577553168
10,21.8132444983,4.3782055111,14.5902874965,1.6262106263,9906,0.0094000000,3.3940728801,1.1722993050,21.6315000000,3.3761487509,2.0000000000,82.0000000000,0.1465934912,0.6688728721
11,24.5934678974,4.6329617677,16.7508263534,1.7689355997,9859,0.0141000000,3.8197783187,1.3475482167,24.2924000000,3.7889872036,1.0000000000,101.0000000000,0.1687018337,0.6811087571
12,27.4533932952,4.8959936097,18.8853231920,1.8661832357,9784,0.0216000000,4.2589023499,1.5259010842,26.9416000000,4.2068264295,2.0000000000,122.0000000000,0.1909264948,0.6879048790
13,30.1932203390,5.1179227011,21.1809033791,2.0000218911,9735,0.0265000000,4.6982374768,1.7150325223,29.5083000000,4.6260257019,1.0000000000,145.0000000000,0.2146725431,0.7015119004
14,33.1247799524,5.3610423022,23.4353396271,2.0938016587,9657,0.0343000000,5.1500742121,1.9080714300,32.1740000000,5.0484151237,2.0000000000,148.0000000000,0.2384789968,0.7074866508
15,36.1872976079,5.5879506460,26.0250768496,2.2275783231,9573,0.0427000000,5.6124010890,2.1104515170,34.9187000000,5.4749115750,1.0000000000,173.0000000000,0.2659916424,0.7191771304
16,39.1447839831,5.8118979310,28.3691365765,2.3165980278,9490,0.0510000000,6.0799311605,2.3139621961,37.5381000000,5.9029084338,2.0000000000,178.0000000000,0.2912145111,0.7247232885
17,42.1951037786,6.0253457555,30.8170473457,2.4269965607,9395,0.0605000000,6.5589704926,2.5180307756,40.1670000000,6.3328785126,1.0000000000,205.0000000000,0.3179381431,0.7303465233
18,45.2918371742,6.2441923978,33.2739351767,2.5103582362,9286,0.0714000000,7.0481313126,2.7219104309,42.7560000000,6.7628763359,2.0000000000,212.0000000000,0.3452946318,0.7346563366
19,48.4011741683,6.4426822357,35.8466656539,2.6254561087,9198,0.0802000000,7.5371836269,2.9315125325,45.3924000000,7.1949589993,1.0000000000,205.0000000000,0.3737679534,0.7406156208
20,51.5886041140,6.6538584047,38.2334206394,2.7045835990,9091,0.0909000000,8.0403154699,3.1370531720,47.9789000000,7.6265252930,2.0000000000,234.0000000000,0.4009934937,0.7411214414
21,55.0233411137,6.8654990345,40.9516438549,2.8086053693,8997,0.1003000000,8.5501597410,3.3554610172,50.7976000000,8.0628890460,1.0000000000,245.0000000000,0.4317401911,0.7442594911
22,58.4429923389,7.0787248963,43.5478971983,2.8869787290,8876,0.1124000000,9.0728469797,3.5783964715,53.4660000000,8.4983100087,2.0000000000,274.0000000000,0.4622304399,0.7451346253
23,62.0745724059,7.2876380369,46.5370185646,2.9941449946,8770,0.1230000000,9.6029337704,3.8102622833,56.3078000000,8.9361626985,1.0000000000,289.0000000000,0.4969340546,0.7496953545
24,65.4807536701,7.4857994429,49.1889361991,3.0730376455,8651,0.1349000000,10.1383582938,4.0431037593,58.8617000000,9.3696654863,2.0000000000,324.0000000000,0.5288521500,0.7511968547
