step,mean_r2,mean_r,std_r2,std_r,n_alive,trapped_rate,mean_rg2,std_rg2,mean_r2_all,mean_rg2_all,min_r2,max_r2,se_r2,cv_r2
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,1.0000000000,1.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.2500000000,0.0000000000,1.0000000000,0.2500000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
2,2.6644000000,1.6088118170,0.9420045860,0.2759067553,10000,0.0000000000,0.5182666667,0.1046671762,2.6644000000,0.5182666667,2.0000000000,4.0000000000,0.0094200459,0.3535522391
3,4.5120000000,2.0354573410,2.2560709209,0.6073824273,10000,0.0000000000,0.8017000000,0.2118938060,4.5120000000,0.8017000000,1.0000000000,9.0000000000,0.0225607092,0.5000157183
4,6.7102000000,2.4871873119,3.5829618976,0.7239470117,10000,0.0000000000,1.1271840000,0.3103972779,6.7102000000,1.1271840000,2.0000000000,16.0000000000,0.0358296190,0.5339575419
5,8.9956000000,2.8487173700,5.2090671564,0.9383013086,10000,0.0000000000,1.4684333333,0.4321313413,8.9956000000,1.4684333333,1.0000000000,25.0000000000,0.0520906716,0.5790683397
6,11.4600000000,3.2130037927,6.8646048685,1.0661175488,10000,0.0000000000,1.8329428571,0.5603540108,11.4600000000,1.8329428571,2.0000000000,36.0000000000,0.0686460487,0.5990056604
7,13.9720000000,3.5214434858,8.7324232605,1.2535692148,10000,0.0000000000,2.2105906250,0.7048313509,13.9720000000,2.2105906250,1.0000000000,49.0000000000,0.0873242326,0.6249945076
8,16.6267040898,3.8428500521,10.6443652055,1.3635276185,9976,0.0024000000,2.6070717871,0.8560623302,16.5892000000,2.6037398148,2.0000000000,64.0000000000,0.1065716148,0.6401969475
9,19.2417538214,4.1115216344,12.6997429034,1.5287719487,9944,0.0056000000,3.0125462591,1.0159337739,19.1452000000,3.0031047037,1.0000000000,65.0000000000,0.1273545223,0.6600096343
10,22.0472870567,4.4008109090,14.7874157277,1.6371164895,9897,0.0103000000,3.4326571956,1.1820604289,21.8449000000,3.4128765301,2.0000000000,82.0000000000,0.1486416431,0.6707136207
11,24.7981930768,4.6467206004,17.0928151365,1.7905811177,9851,0.0149000000,3.8591132880,1.3621814431,24.4780000000,3.8264146500,1.0000000000,85.0000000000,0.1722159755,0.6892766374
12,27.6512150296,4.9092856871,19.2155336051,1.8841786200,9794,0.0206000000,4.2967291893,1.5422819746,27.1566000000,4.2459770514,2.0000000000,104.0000000000,0.1941656492,0.6949254702
13,30.4698151951,5.1458647267,21.4203604175,1.9974712539,9740,0.0260000000,4.7395801031,1.7243701357,29.7960000000,4.6682748173,1.0000000000,125.0000000000,0.2170437556,0.7030026366
14,33.5824016563,5.4006766029,23.8416954049,2.1012124802,9660,0.0340000000,5.1987218772,1.9155546680,32.6342000000,5.0979625996,2.0000000000,148.0000000000,0.2425764142,0.7099461095
15,36.5261454963,5.6223914280,26.1504816053,2.2169483817,9581,0.0419000000,5.6619146944,2.1127970554,35.2955000000,5.5278608462,1.0000000000,145.0000000000,0.2671617450,0.7159387132
16,39.6127198063,5.8569341636,28.4973717792,2.3041358489,9497,0.0503000000,6.1353630886,2.3136916433,38.0228000000,5.9606643902,2.0000000000,170.0000000000,0.2924230411,0.7193995242
17,42.6176720476,6.0640782467,30.8478320895,2.4175663518,9416,0.0584000000,6.6121639552,2.5173845415,40.6652000000,6.3936724341,1.0000000000,185.0000000000,0.3179006555,0.7238272437
18,45.9096372612,6.2955947453,33.3084602111,2.5050197733,9318,0.0682000000,7.1069582656,2.7232868565,43.4496000000,6.8302812077,2.0000000000,212.0000000000,0.3450588761,0.7255221822
19,49.1959042150,6.5084598453,35.9667286525,2.6145467403,9229,0.0771000000,7.6041792177,2.9419734279,46.2297000000,7.2687000914,1.0000000000,225.0000000000,0.3743894614,0.7310919319
20,52.5331434206,6.7305686015,38.3470021531,2.6893474528,9127,0.0873000000,8.1154875010,3.1578487616,48.9300000000,7.7078010336,2.0000000000,256.0000000000,0.4013907801,0.7299582636
21,55.8112414251,6.9285472786,40.9658507413,2.7940068063,9038,0.0962000000,8.6264079671,3.3772155966,51.6348000000,8.1471939057,1.0000000000,289.0000000000,0.4309092430,0.7340071587
22,59.4577030812,7.1518343905,43.7372538076,2.8825280453,8925,0.1075000000,9.1539997776,3.6029319540,54.5263000000,8.5895029634,2.0000000000,290.0000000000,0.4629641885,0.7356028158
23,63.0512471655,7.3562903794,46.6950264123,2.9893542813,8820,0.1180000000,9.6828148621,3.8403327160,57.3863000000,9.0333570139,1.0000000000,293.0000000000,0.4972059679,0.7405884659
24,66.5117721374,7.5540448956,49.4751592189,3.0737888433,8707,0.1293000000,10.2255149190,4.0816217627,60.0026000000,9.4732586872,2.0000000000,298.0000000000,0.5302161212,0.7438556759
