step,survival_probability,expected_alive_1e3,expected_alive_1e4,expected_alive_1e5,expected_alive_1e6,expected_alive_1e7
94,0.2495,249.5,2495.0,24950.0,249500.0,2495000.0
95,0.2441,244.10000000000002,2441.0,24410.0,244100.0,2441000.0
96,0.2386,238.6,2386.0,23860.0,238600.0,2386000.0
97,0.2339,233.9,2339.0,23390.0,233900.0,2339000.0
98,0.2288,228.8,2288.0,22880.0,228800.0,2288000.0
99,0.2236,223.6,2236.0,22360.0,223600.0,2236000.0
100,0.2184,218.4,2184.0,21840.0,218400.0,2184000.0
101,0.214,214.0,2140.0,21400.0,214000.0,2140000.0
102,0.2108,210.79999999999998,2108.0,21080.0,210800.0,2108000.0
103,0.2055,205.5,2055.0,20550.0,205500.0,2054999.9999999998
104,0.2012,201.2,2012.0,20120.0,201200.0,2012000.0
105,0.1978,197.8,1978.0,19780.0,197800.0,1978000.0
106,0.1939,193.89999999999998,1939.0,19390.0,193900.0,1939000.0
107,0.1894,189.4,1894.0000000000002,18940.0,189400.0,1894000.0000000002
108,0.1852,185.20000000000002,1852.0,18520.0,185200.0,1852000.0
109,0.1803,180.29999999999998,1802.9999999999998,18030.0,180300.0,1802999.9999999998
110,0.1767,176.7,1767.0,17670.0,176700.0,1767000.0
111,0.1735,173.5,1734.9999999999998,17350.0,173500.0,1734999.9999999998
112,0.1698,169.8,1698.0,16980.0,169800.0,1698000.0
113,0.1664,166.4,1664.0,16640.0,166400.0,1664000.0
114,0.1616,161.6,1616.0,16160.0,161600.0,1616000.0
115,0.1571,157.1,1571.0,15709.999999999998,157100.0,1571000.0
116,0.154,154.0,1540.0,15400.0,154000.0,1540000.0
117,0.1506,150.60000000000002,1506.0000000000002,15060.000000000002,150600.0,1506000.0
118,0.1464,146.4,1464.0,14640.0,146400.0,1464000.0
119,0.1431,143.1,1431.0,14310.0,143100.0,1431000.0
120,0.1401,140.1,1401.0,14010.0,140100.0,1401000.0
121,0.1372,137.2,1372.0,13719.999999999998,137200.0,1372000.0
122,0.1345,134.5,1345.0,13450.0,134500.0,1345000.0
123,0.1321,132.1,1321.0,13210.0,132100.0,1321000.0
124,0.129,129.0,1290.0,12900.0,129000.0,1290000.0
125,0.1269,126.9,1269.0000000000002,12690.000000000002,126900.00000000001,1269000.0000000002
126,0.1248,124.8,1248.0,12480.0,124800.0,1248000.0
127,0.1223,122.30000000000001,1223.0,12230.0,122300.0,1223000.0
128,0.1201,120.1,1201.0,12010.0,120100.0,1201000.0
129,0.1168,116.8,1168.0,11680.0,116800.0,1168000.0
130,0.114,114.0,1140.0,11400.0,114000.0,1140000.0
131,0.1122,112.19999999999999,1122.0,11220.0,112200.0,1122000.0
132,0.1096,109.60000000000001,1096.0,10960.0,109600.0,1096000.0
133,0.1078,107.80000000000001,1078.0,10780.0,107800.0,1078000.0
134,0.1055,105.5,1055.0,10550.0,105500.0,1055000.0
135,0.1039,103.9,1039.0,10390.0,103900.0,1039000.0000000001
136,0.1006,100.6,1006.0,10060.0,100600.0,1006000.0
137,0.0974,97.4,974.0,9740.0,97400.0,974000.0
138,0.0944,94.39999999999999,944.0,9440.0,94400.0,944000.0
139,0.0928,92.8,927.9999999999999,9280.0,92800.0,927999.9999999999
140,0.0905,90.5,905.0,9050.0,90500.0,905000.0
141,0.0885,88.5,885.0,8850.0,88500.0,885000.0
142,0.0873,87.3,873.0,8730.0,87300.0,873000.0
143,0.0859,85.9,859.0,8590.0,85900.0,859000.0
144,0.084,84.0,840.0,8400.0,84000.0,840000.0
145,0.0825,82.5,825.0,8250.0,82500.0,825000.0
146,0.0805,80.5,805.0,8050.0,80500.0,805000.0
147,0.0787,78.7,787.0000000000001,7870.000000000001,78700.0,787000.0000000001
148,0.0774,77.39999999999999,774.0,7740.0,77400.0,774000.0
149,0.0762,76.2,762.0,7620.0,76200.0,762000.0
150,0.0756,75.6,756.0,7560.0,75600.0,756000.0
151,0.0744,74.39999999999999,743.9999999999999,7439.999999999999,74400.0,743999.9999999999
152,0.0727,72.7,727.0,7270.0,72700.0,727000.0
153,0.0706,70.6,706.0,7060.0,70600.0,706000.0
154,0.0689,68.9,689.0,6890.0,68900.0,689000.0
155,0.0672,67.2,672.0,6720.0,67200.0,672000.0
156,0.0658,65.8,658.0,6580.0,65800.0,658000.0
157,0.0633,63.3,633.0,6329.999999999999,63299.99999999999,633000.0
158,0.0616,61.6,616.0,6160.0,61600.0,616000.0
159,0.0606,60.6,606.0,6060.0,60600.0,606000.0
160,0.0593,59.3,593.0,5930.0,59300.0,593000.0
161,0.0585,58.5,585.0,5850.0,58500.0,585000.0
162,0.0572,57.2,572.0,5720.0,57200.0,572000.0
163,0.0562,56.2,562.0,5620.0,56200.0,562000.0
164,0.0553,55.300000000000004,553.0,5530.0,55300.0,553000.0
165,0.0541,54.1,541.0,5410.0,54100.0,541000.0
166,0.053,53.0,530.0,5300.0,53000.0,530000.0
167,0.0519,51.9,519.0,5190.0,51900.0,519000.0
168,0.0512,51.2,512.0,5120.0,51200.0,512000.0
169,0.0506,50.6,506.0,5060.0,50600.0,506000.0
170,0.0496,49.6,496.0,4960.0,49600.0,496000.0
171,0.049,49.0,490.0,4900.0,49000.0,490000.0
172,0.0475,47.5,475.0,4750.0,47500.0,475000.0
173,0.0468,46.800000000000004,468.0,4680.0,46800.0,468000.0
174,0.0456,45.6,456.0,4560.0,45600.0,456000.0
175,0.044,44.0,440.0,4400.0,44000.0,440000.0
176,0.043,43.0,429.99999999999994,4300.0,43000.0,429999.99999999994
177,0.0416,41.6,416.0,4160.0,41600.0,416000.0
178,0.0407,40.7,407.0,4070.0,40700.0,407000.0
179,0.0398,39.800000000000004,398.0,3980.0,39800.0,398000.0
180,0.0393,39.300000000000004,393.0,3930.0,39300.0,393000.0
181,0.0389,38.9,388.99999999999994,3889.9999999999995,38900.0,388999.99999999994
182,0.0379,37.900000000000006,379.00000000000006,3790.0000000000005,37900.0,379000.00000000006
183,0.0372,37.199999999999996,371.99999999999994,3719.9999999999995,37200.0,371999.99999999994
184,0.0369,36.900000000000006,369.0,3690.0,36900.0,369000.0
185,0.0362,36.2,362.00000000000006,3620.0000000000005,36200.0,362000.00000000006
186,0.0354,35.4,354.0,3540.0,35400.0,354000.0
187,0.0348,34.8,348.0,3479.9999999999995,34800.0,348000.0
188,0.0337,33.7,337.0,3370.0,33700.0,337000.0
189,0.0329,32.9,329.0,3290.0,32900.0,329000.0
190,0.0322,32.2,322.0,3220.0,32200.0,322000.0
191,0.0315,31.5,315.0,3150.0,31500.0,315000.0
192,0.0307,30.700000000000003,307.0,3070.0,30700.0,307000.0
193,0.0303,30.3,303.0,3030.0,30300.0,303000.0
194,0.0296,29.6,296.0,2960.0,29600.0,296000.0
195,0.0286,28.6,286.0,2860.0,28600.0,286000.0
196,0.0283,28.299999999999997,283.0,2830.0,28300.0,283000.0
197,0.0275,27.5,275.0,2750.0,27500.0,275000.0
198,0.0267,26.700000000000003,267.0,2670.0,26700.0,267000.0
199,0.0261,26.1,261.0,2610.0,26100.0,261000.00000000003
200,0.0256,25.6,256.0,2560.0,25600.0,256000.0
