walk_type,dimension,L,n_trials,fit_start,fit_end,alpha,intercept,r2_score,n_points,n_alive_min,mean_r2_start,mean_r2_end,fit_n_alive_min,fit_n_alive_median,fit_max_relative_standard_error,fit_all_points_eligible,fit_reliability_point_count,fit_reliability_complete
saw,2d,-1,1000000000,50,200,1.3694453409561655,-0.2233137510798743,0.9999334102145235,151,26268259.0,171.8375888185,1141.31705531,26268259.0,150347893.5,0.0001459274,0,4,0
saw,2d,-1,1000000000,50,250,1.3777310599511041,-0.2609573143636061,0.9999106984518048,201,8645890.0,171.8375888185,1565.1214854688,8645890.0,78009650.0,0.0002524104,0,5,0
saw,2d,-1,1000000000,50,300,1.384664336897665,-0.2932053414555453,0.9998898717567133,251,2801460.0,171.8375888185,2031.4625266825,2801460.0,52138954.5,0.0004403536,0,6,0
saw,2d,-1,1000000000,50,400,1.3955785891553036,-0.3453985336506467,0.999859067096708,351,286576.0,171.8375888185,3072.6425381051,286576.0,17457074.5,0.0013621565,0,8,0
saw,2d,-1,1000000000,50,500,1.4037736030448071,-0.385834813246532,0.9998391156259605,451,28644.0,171.8375888185,4246.959642508,28644.0,8645890.0,0.0042617071,0,9,0
saw,2d,-1,1000000000,50,600,1.4096048993980654,-0.4153450616583964,0.9998350027449129,551,2771.0,171.8375888185,5493.6672681342,2771.0,5723675.0,0.013220421,0,10,0
saw,2d,-1,1000000000,50,800,1.4149798500508697,-0.4428846429128132,0.999519049296391,751,28.0,171.8375888185,7738.2857142857,28.0,1850961.0,0.13938061,0,12,0
saw,2d,-1,1000000000,75,100,1.3567145195995387,-0.16978541032979644,0.9999967809706007,26,222686137.0,295.3586366128,436.391086698,222686137.0,222686137.0,5.09934e-05,0,1,0
saw,2d,-1,1000000000,75,150,1.370081243981853,-0.22985953279487478,0.9999827436581891,76,78009650.0,295.3586366128,763.04833984,78009650.0,150347893.5,8.54075e-05,0,2,0
saw,2d,-1,1000000000,75,200,1.3799998587542448,-0.27583758251849433,0.9999666958432104,126,26268259.0,295.3586366128,1141.31705531,26268259.0,78009650.0,0.0001459274,0,3,0
saw,2d,-1,1000000000,75,250,1.3879309758950809,-0.3135116431115605,0.9999504957147131,176,8645890.0,295.3586366128,1565.1214854688,8645890.0,52138954.5,0.0002524104,0,4,0
saw,2d,-1,1000000000,75,300,1.3945640147721496,-0.3456649087512922,0.9999348573997896,226,2801460.0,295.3586366128,2031.4625266825,2801460.0,26268259.0,0.0004403536,0,5,0
saw,2d,-1,1000000000,75,400,1.4048815289391758,-0.3968942617369978,0.9999123190093149,326,286576.0,295.3586366128,3072.6425381051,286576.0,8645890.0,0.0013621565,0,7,0
saw,2d,-1,1000000000,75,500,1.4125136779103447,-0.4358498494876013,0.9998975413392748,426,28644.0,295.3586366128,4246.959642508,28644.0,5723675.0,0.0042617071,0,8,0
saw,2d,-1,1000000000,75,600,1.4176969447649024,-0.46290655645843337,0.9998955387804289,526,2771.0,295.3586366128,5493.6672681342,2771.0,2801460.0,0.013220421,0,9,0
saw,2d,-1,1000000000,75,800,1.4214059196102133,-0.48224985055154096,0.9994697017514923,726,28.0,295.3586366128,7738.2857142857,28.0,900462.0,0.13938061,0,11,0
saw,2d,-1,1000000000,100,150,1.3784639371317073,-0.27047535828762764,0.9999938049097564,51,78009650.0,436.391086698,763.04833984,78009650.0,150347893.5,8.54075e-05,0,2,0
saw,2d,-1,1000000000,100,200,1.3879831843280948,-0.31620902342264,0.9999837493903998,101,26268259.0,436.391086698,1141.31705531,26268259.0,78009650.0,0.0001459274,0,3,0
saw,2d,-1,1000000000,100,250,1.3956351960830744,-0.3537783307736704,0.9999718569395489,151,8645890.0,436.391086698,1565.1214854688,8645890.0,52138954.5,0.0002524104,0,4,0
saw,2d,-1,1000000000,100,300,1.402043348474223,-0.38581662201046885,0.9999596578531145,201,2801460.0,436.391086698,2031.4625266825,2801460.0,26268259.0,0.0004403536,0,5,0
saw,2d,-1,1000000000,100,400,1.4118686401322698,-0.4360043439166577,0.9999428322750166,301,286576.0,436.391086698,3072.6425381051,286576.0,8645890.0,0.0013621565,0,7,0
saw,2d,-1,1000000000,100,500,1.4190349821204766,-0.4735391730542854,0.9999313633415949,401,28644.0,436.391086698,4246.959642508,28644.0,5723675.0,0.0042617071,0,8,0
saw,2d,-1,1000000000,100,600,1.4236494605121703,-0.4982084936876913,0.9999301541931286,501,2771.0,436.391086698,5493.6672681342,2771.0,2801460.0,0.013220421,0,9,0
saw,2d,-1,1000000000,100,800,1.425819153413953,-0.5094938042257425,0.9993768972681948,701,28.0,436.391086698,7738.2857142857,28.0,900462.0,0.13938061,0,11,0
saw,2d,-1,1000000000,150,200,1.3996188504455733,-0.3761244095920926,0.9999971370630776,51,26268259.0,763.04833984,1141.31705531,26268259.0,52138954.5,0.0001459274,0,2,0
saw,2d,-1,1000000000,150,250,1.407010210900402,-0.4142027375098546,0.999991190472425,101,8645890.0,763.04833984,1565.1214854688,8645890.0,26268259.0,0.0002524104,0,3,0
saw,2d,-1,1000000000,150,300,1.4131399679672794,-0.44627453318228955,0.9999836262750103,151,2801460.0,763.04833984,2031.4625266825,2801460.0,17457074.5,0.0004403536,0,4,0
saw,2d,-1,1000000000,150,400,1.4220829962858064,-0.49391024864610017,0.9999749348477989,251,286576.0,763.04833984,3072.6425381051,286576.0,5723675.0,0.0013621565,0,6,0
saw,2d,-1,1000000000,150,500,1.428456997918835,-0.5286118538346511,0.9999672555887654,351,28644.0,763.04833984,4246.959642508,28644.0,2801460.0,0.0042617071,0,7,0
saw,2d,-1,1000000000,150,600,1.4320180141360943,-0.5483497547389511,0.9999651818436389,451,2771.0,763.04833984,5493.6672681342,2771.0,1850961.0,0.013220421,0,8,0
saw,2d,-1,1000000000,150,800,1.431166839738327,-0.5427920339662807,0.9990835938764228,651,28.0,763.04833984,7738.2857142857,28.0,593519.0,0.13938061,0,10,0
saw,2d,-1,1000000000,200,250,1.4154993884230895,-0.4601052473277036,0.9999981656421815,51,8645890.0,1141.31705531,1565.1214854688,8645890.0,17457074.5,0.0002524104,0,2,0
saw,2d,-1,1000000000,200,300,1.4215125849278787,-0.4926404713743295,0.999993140599249,101,2801460.0,1141.31705531,2031.4625266825,2801460.0,8645890.0,0.0004403536,0,3,0
saw,2d,-1,1000000000,200,400,1.4293465337955638,-0.5356708748006375,0.9999901891536706,201,286576.0,1141.31705531,3072.6425381051,286576.0,2801460.0,0.0013621565,0,5,0
saw,2d,-1,1000000000,200,500,1.4350387184805797,-0.5675694820052752,0.9999838563160611,301,28644.0,1141.31705531,4246.959642508,28644.0,1850961.0,0.0042617071,0,6,0
saw,2d,-1,1000000000,200,600,1.4375509793678614,-0.5818828737106589,0.9999781057257281,401,2771.0,1141.31705531,5493.6672681342,2771.0,900462.0,0.013220421,0,7,0
saw,2d,-1,1000000000,200,800,1.4334906793156905,-0.5574014460350889,0.9986252029099844,601,28.0,1141.31705531,7738.2857142857,28.0,286576.0,0.13938061,0,9,0
