final_step,count,probability,geometric_fit
1,2452,0.2452,0.27741559630482426
2,1907,0.1907,0.20045618323166303
3,1706,0.1706,0.14484651162746212
4,1166,0.1166,0.10466383023165605
5,847,0.0847,0.0756284513563943
6,613,0.0613,0.05464793942574978
7,380,0.038,0.03948774872312549
8,268,0.0268,0.02853323136436457
9,222,0.0222,0.020617667970915857
10,147,0.0147,0.014898005316349359
11,101,0.0101,0.010765066287761858
12,55,0.0055,0.007778669004281442
13,56,0.0056,0.005620744904000852
14,23,0.0023,0.004061462604780154
15,18,0.0018,0.0029347495344053225
16,13,0.0013,0.0021206042423129643
17,8,0.0008,0.0015323155519051735
18,4,0.0004,0.0011072273193462438
19,4,0.0004,0.0008000651923048135
20,0,0.0,0.0005781146298988398
21,3,0.0003,0.00041773661511291035
22,4,0.0004,0.0003018499629330035
23,0,0.0,0.0002181120754713552
24,1,0.0001,0.00015760438399318636
25,1,0.0001,0.00011388246982746207
26,0,0.0,8.228969655161052e-05
27,0,0.0,5.946125131300245e-05
28,0,0.0,4.296577282297486e-05
29,0,0.0,3.1046397334591675e-05
30,0,0.0,2.2433642504899423e-05
31,1,0.0001,1.6210200192113496e-05
