trial,final_step,trapped,contact_dead,boundary_dead
0,9,1,1,0
1,1,1,1,0
2,4,1,1,0
3,1,1,1,0
4,3,1,1,0
5,6,1,1,0
6,6,1,1,0
7,1,1,1,0
8,2,1,1,0
9,3,1,1,0
10,1,1,1,0
11,3,1,1,0
12,5,1,1,0
13,6,1,1,0
14,7,1,1,0
15,12,1,1,0
16,6,1,1,0
17,5,1,1,0
18,2,1,1,0
19,1,1,1,0
20,9,1,1,0
21,16,1,1,0
22,5,1,1,0
23,3,1,1,0
24,3,1,1,0
25,5,1,1,0
26,3,1,1,0
27,3,1,1,0
28,2,1,1,0
29,4,1,1,0
30,6,1,1,0
31,6,1,1,0
32,4,1,1,0
33,6,1,1,0
34,1,1,1,0
35,4,1,1,0
36,8,1,1,0
37,1,1,1,0
38,2,1,1,0
39,3,1,1,0
40,1,1,1,0
41,3,1,1,0
42,1,1,1,0
43,2,1,1,0
44,1,1,1,0
45,1,1,1,0
46,2,1,1,0
47,6,1,1,0
48,2,1,1,0
49,3,1,1,0
50,1,1,1,0
51,5,1,1,0
52,1,1,1,0
53,4,1,1,0
54,3,1,1,0
55,2,1,1,0
56,1,1,1,0
57,3,1,1,0
58,4,1,1,0
59,2,1,1,0
60,2,1,1,0
61,1,1,1,0
62,2,1,1,0
63,7,1,1,0
64,9,1,1,0
65,2,1,1,0
66,1,1,1,0
67,7,1,1,0
68,3,1,1,0
69,2,1,1,0
70,4,1,1,0
71,8,1,1,0
72,2,1,1,0
73,3,1,1,0
74,2,1,1,0
75,4,1,1,0
76,3,1,1,0
77,14,1,1,0
78,2,1,1,0
79,3,1,1,0
80,1,1,1,0
81,4,1,1,0
82,2,1,1,0
83,6,1,1,0
84,2,1,1,0
85,2,1,1,0
86,5,1,1,0
87,9,1,1,0
88,2,1,1,0
89,10,1,1,0
90,3,1,1,0
91,8,1,1,0
92,6,1,1,0
93,4,1,1,0
94,8,1,1,0
95,2,1,1,0
96,5,1,1,0
97,1,1,1,0
98,1,1,1,0
99,8,1,1,0
100,7,1,1,0
101,2,1,1,0
102,4,1,1,0
103,1,1,1,0
104,3,1,1,0
105,3,1,1,0
106,3,1,1,0
107,4,1,1,0
108,3,1,1,0
109,2,1,1,0
110,1,1,1,0
111,3,1,1,0
112,4,1,1,0
113,10,1,1,0
114,4,1,1,0
115,3,1,1,0
116,3,1,1,0
117,1,1,1,0
118,1,1,1,0
119,5,1,1,0
120,3,1,1,0
121,5,1,1,0
122,2,1,1,0
123,2,1,1,0
124,2,1,1,0
125,6,1,1,0
126,2,1,1,0
127,8,1,1,0
128,1,1,1,0
129,5,1,1,0
130,1,1,1,0
131,3,1,1,0
132,10,1,1,0
133,3,1,1,0
134,9,1,1,0
135,1,1,1,0
136,1,1,1,0
137,2,1,1,0
138,1,1,1,0
139,1,1,1,0
140,3,1,1,0
141,2,1,1,0
142,1,1,1,0
143,1,1,1,0
144,1,1,1,0
145,2,1,1,0
146,2,1,1,0
147,1,1,1,0
148,5,1,1,0
149,6,1,1,0
150,5,1,1,0
151,2,1,1,0
152,2,1,1,0
153,5,1,1,0
154,5,1,1,0
155,7,1,1,0
156,3,1,1,0
157,2,1,1,0
158,1,1,1,0
159,1,1,1,0
160,5,1,1,0
161,2,1,1,0
162,3,1,1,0
163,1,1,1,0
164,3,1,1,0
165,1,1,1,0
166,4,1,1,0
167,5,1,1,0
168,4,1,1,0
169,3,1,1,0
170,11,1,1,0
171,7,1,1,0
172,10,1,1,0
173,14,1,1,0
174,4,1,1,0
175,1,1,1,0
176,3,1,1,0
177,14,1,1,0
178,1,1,1,0
179,2,1,1,0
180,1,1,1,0
181,2,1,1,0
182,1,1,1,0
183,1,1,1,0
184,3,1,1,0
185,2,1,1,0
186,6,1,1,0
187,3,1,1,0
188,3,1,1,0
189,2,1,1,0
190,2,1,1,0
191,1,1,1,0
192,6,1,1,0
193,2,1,1,0
194,1,1,1,0
195,3,1,1,0
196,8,1,1,0
197,4,1,1,0
198,3,1,1,0
199,1,1,1,0
200,1,1,1,0
201,1,1,1,0
202,5,1,1,0
203,1,1,1,0
204,8,1,1,0
205,10,1,1,0
206,5,1,1,0
207,4,1,1,0
208,1,1,1,0
209,2,1,1,0
210,1,1,1,0
211,4,1,1,0
212,1,1,1,0
213,9,1,1,0
214,5,1,1,0
215,14,1,1,0
216,2,1,1,0
217,2,1,1,0
218,5,1,1,0
219,1,1,1,0
220,3,1,1,0
221,4,1,1,0
222,2,1,1,0
223,2,1,1,0
224,1,1,1,0
225,4,1,1,0
226,6,1,1,0
227,2,1,1,0
228,3,1,1,0
229,2,1,1,0
230,2,1,1,0
231,6,1,1,0
232,4,1,1,0
233,2,1,1,0
234,6,1,1,0
235,5,1,1,0
236,1,1,1,0
237,1,1,1,0
238,6,1,1,0
239,2,1,1,0
240,3,1,1,0
241,1,1,1,0
242,3,1,1,0
243,5,1,1,0
244,9,1,1,0
245,8,1,1,0
246,1,1,1,0
247,6,1,1,0
248,5,1,1,0
249,2,1,1,0
250,3,1,1,0
251,3,1,1,0
252,4,1,1,0
253,6,1,1,0
254,4,1,1,0
255,3,1,1,0
256,5,1,1,0
257,2,1,1,0
258,2,1,1,0
259,1,1,1,0
260,5,1,1,0
261,2,1,1,0
262,2,1,1,0
263,5,1,1,0
264,7,1,1,0
265,3,1,1,0
266,3,1,1,0
267,3,1,1,0
268,2,1,1,0
269,6,1,1,0
270,2,1,1,0
271,3,1,1,0
272,2,1,1,0
273,4,1,1,0
274,1,1,1,0
275,5,1,1,0
276,4,1,1,0
277,4,1,1,0
278,8,1,1,0
279,1,1,1,0
280,4,1,1,0
281,2,1,1,0
282,1,1,1,0
283,4,1,1,0
284,6,1,1,0
285,4,1,1,0
286,1,1,1,0
287,1,1,1,0
288,1,1,1,0
289,7,1,1,0
290,2,1,1,0
291,1,1,1,0
292,6,1,1,0
293,1,1,1,0
294,5,1,1,0
295,5,1,1,0
296,2,1,1,0
297,2,1,1,0
298,1,1,1,0
299,1,1,1,0
300,3,1,1,0
301,3,1,1,0
302,2,1,1,0
303,3,1,1,0
304,2,1,1,0
305,1,1,1,0
306,3,1,1,0
307,3,1,1,0
308,3,1,1,0
309,13,1,1,0
310,9,1,1,0
311,5,1,1,0
312,9,1,1,0
313,1,1,1,0
314,10,1,1,0
315,1,1,1,0
316,3,1,1,0
317,1,1,1,0
318,1,1,1,0
319,2,1,1,0
320,1,1,1,0
321,4,1,1,0
322,11,1,1,0
323,2,1,1,0
324,1,1,1,0
325,1,1,1,0
326,4,1,1,0
327,5,1,1,0
328,1,1,1,0
329,5,1,1,0
330,3,1,1,0
331,2,1,1,0
332,4,1,1,0
333,12,1,1,0
334,1,1,1,0
335,1,1,1,0
336,1,1,1,0
337,1,1,1,0
338,2,1,1,0
339,1,1,1,0
340,3,1,1,0
341,2,1,1,0
342,3,1,1,0
343,5,1,1,0
344,5,1,1,0
345,14,1,1,0
346,3,1,1,0
347,13,1,1,0
348,6,1,1,0
349,1,1,1,0
350,2,1,1,0
351,1,1,1,0
352,2,1,1,0
353,1,1,1,0
354,5,1,1,0
355,1,1,1,0
356,3,1,1,0
357,9,1,1,0
358,1,1,1,0
359,4,1,1,0
360,1,1,1,0
361,1,1,1,0
362,2,1,1,0
363,6,1,1,0
364,2,1,1,0
365,3,1,1,0
366,4,1,1,0
367,5,1,1,0
368,1,1,1,0
369,1,1,1,0
370,1,1,1,0
371,4,1,1,0
372,5,1,1,0
373,13,1,1,0
374,2,1,1,0
375,1,1,1,0
376,6,1,1,0
377,2,1,1,0
378,5,1,1,0
379,1,1,1,0
380,1,1,1,0
381,2,1,1,0
382,5,1,1,0
383,1,1,1,0
384,1,1,1,0
385,2,1,1,0
386,3,1,1,0
387,2,1,1,0
388,2,1,1,0
389,8,1,1,0
390,3,1,1,0
391,3,1,1,0
392,5,1,1,0
393,1,1,1,0
394,6,1,1,0
395,4,1,1,0
396,6,1,1,0
397,6,1,1,0
398,3,1,1,0
399,2,1,1,0
400,5,1,1,0
401,5,1,1,0
402,2,1,1,0
403,1,1,1,0
404,1,1,1,0
405,2,1,1,0
406,2,1,1,0
407,5,1,1,0
408,1,1,1,0
409,1,1,1,0
410,1,1,1,0
411,3,1,1,0
412,3,1,1,0
413,2,1,1,0
414,4,1,1,0
415,5,1,1,0
416,2,1,1,0
417,2,1,1,0
418,5,1,1,0
419,2,1,1,0
420,10,1,1,0
421,2,1,1,0
422,2,1,1,0
423,2,1,1,0
424,1,1,1,0
425,3,1,1,0
426,2,1,1,0
427,8,1,1,0
428,1,1,1,0
429,2,1,1,0
430,2,1,1,0
431,5,1,1,0
432,3,1,1,0
433,8,1,1,0
434,3,1,1,0
