trial,final_step,trapped,contact_dead,boundary_dead
0,1,1,1,0
1,4,1,1,0
2,3,1,1,0
3,5,1,1,0
4,3,1,1,0
5,1,1,1,0
6,2,1,1,0
7,3,1,1,0
8,1,1,1,0
9,2,1,1,0
10,6,1,1,0
11,2,1,1,0
12,8,1,1,0
13,2,1,1,0
14,1,1,1,0
15,19,1,1,0
16,4,1,1,0
17,3,1,1,0
18,1,1,1,0
19,1,1,1,0
20,3,1,1,0
21,7,1,1,0
22,1,1,1,0
23,8,1,1,0
24,2,1,1,0
25,1,1,1,0
26,4,1,1,0
27,2,1,1,0
28,1,1,1,0
29,7,1,1,0
30,1,1,1,0
31,2,1,1,0
32,1,1,1,0
33,1,1,1,0
34,6,1,1,0
35,1,1,1,0
36,3,1,1,0
37,9,1,1,0
38,3,1,1,0
39,5,1,1,0
40,2,1,1,0
41,4,1,1,0
42,5,1,1,0
43,5,1,1,0
44,2,1,1,0
45,3,1,1,0
46,2,1,1,0
47,1,1,1,0
48,2,1,1,0
49,3,1,1,0
50,10,1,1,0
51,6,1,1,0
52,3,1,1,0
53,1,1,1,0
54,4,1,1,0
55,3,1,1,0
56,6,1,1,0
57,3,1,1,0
58,2,1,1,0
59,1,1,1,0
60,1,1,1,0
61,2,1,1,0
62,3,1,1,0
63,1,1,1,0
64,4,1,1,0
65,1,1,1,0
66,2,1,1,0
67,8,1,1,0
68,7,1,1,0
69,2,1,1,0
70,1,1,1,0
71,3,1,1,0
72,1,1,1,0
73,7,1,1,0
74,5,1,1,0
75,4,1,1,0
76,2,1,1,0
77,8,1,1,0
78,3,1,1,0
79,1,1,1,0
80,4,1,1,0
81,1,1,1,0
82,6,1,1,0
83,8,1,1,0
84,4,1,1,0
85,4,1,1,0
86,5,1,1,0
87,2,1,1,0
88,6,1,1,0
89,4,1,1,0
90,1,1,1,0
91,16,1,1,0
92,1,1,1,0
93,7,1,1,0
94,2,1,1,0
95,3,1,1,0
96,2,1,1,0
97,1,1,1,0
98,1,1,1,0
99,3,1,1,0
100,9,1,1,0
101,3,1,1,0
102,1,1,1,0
103,5,1,1,0
104,4,1,1,0
105,2,1,1,0
106,3,1,1,0
107,3,1,1,0
108,2,1,1,0
109,2,1,1,0
110,1,1,1,0
111,1,1,1,0
112,4,1,1,0
113,1,1,1,0
114,4,1,1,0
115,1,1,1,0
116,1,1,1,0
117,7,1,1,0
118,4,1,1,0
119,1,1,1,0
120,5,1,1,0
121,6,1,1,0
122,12,1,1,0
123,15,1,1,0
124,4,1,1,0
125,2,1,1,0
126,4,1,1,0
127,10,1,1,0
128,5,1,1,0
129,6,1,1,0
130,5,1,1,0
131,1,1,1,0
132,4,1,1,0
133,3,1,1,0
134,3,1,1,0
135,8,1,1,0
136,2,1,1,0
137,2,1,1,0
138,5,1,1,0
139,3,1,1,0
140,1,1,1,0
141,2,1,1,0
142,3,1,1,0
143,5,1,1,0
144,5,1,1,0
145,1,1,1,0
146,2,1,1,0
147,2,1,1,0
148,1,1,1,0
149,1,1,1,0
150,1,1,1,0
151,3,1,1,0
152,1,1,1,0
153,8,1,1,0
154,3,1,1,0
155,2,1,1,0
156,5,1,1,0
157,5,1,1,0
158,2,1,1,0
159,2,1,1,0
160,1,1,1,0
161,3,1,1,0
162,4,1,1,0
163,1,1,1,0
164,3,1,1,0
165,1,1,1,0
166,1,1,1,0
167,1,1,1,0
168,6,1,1,0
169,3,1,1,0
170,3,1,1,0
171,8,1,1,0
172,1,1,1,0
173,4,1,1,0
174,3,1,1,0
175,8,1,1,0
176,4,1,1,0
177,1,1,1,0
178,1,1,1,0
179,2,1,1,0
180,3,1,1,0
181,6,1,1,0
182,1,1,1,0
183,1,1,1,0
184,2,1,1,0
185,1,1,1,0
186,5,1,1,0
187,3,1,1,0
188,7,1,1,0
189,5,1,1,0
190,2,1,1,0
191,1,1,1,0
192,3,1,1,0
193,1,1,1,0
194,1,1,1,0
195,3,1,1,0
196,2,1,1,0
197,2,1,1,0
198,1,1,1,0
199,2,1,1,0
200,8,1,1,0
201,7,1,1,0
202,1,1,1,0
203,2,1,1,0
204,2,1,1,0
205,3,1,1,0
206,4,1,1,0
207,4,1,1,0
208,5,1,1,0
209,4,1,1,0
210,6,1,1,0
211,1,1,1,0
212,2,1,1,0
213,12,1,1,0
214,7,1,1,0
215,2,1,1,0
216,1,1,1,0
217,2,1,1,0
218,2,1,1,0
219,1,1,1,0
220,4,1,1,0
221,2,1,1,0
222,5,1,1,0
223,2,1,1,0
224,5,1,1,0
225,5,1,1,0
226,4,1,1,0
227,4,1,1,0
228,3,1,1,0
229,3,1,1,0
230,5,1,1,0
231,4,1,1,0
232,1,1,1,0
233,9,1,1,0
234,2,1,1,0
235,1,1,1,0
236,3,1,1,0
237,2,1,1,0
238,2,1,1,0
239,2,1,1,0
240,13,1,1,0
241,2,1,1,0
242,2,1,1,0
243,3,1,1,0
244,5,1,1,0
245,1,1,1,0
246,1,1,1,0
247,6,1,1,0
248,2,1,1,0
249,3,1,1,0
250,13,1,1,0
251,4,1,1,0
252,5,1,1,0
253,2,1,1,0
254,6,1,1,0
255,1,1,1,0
256,4,1,1,0
257,3,1,1,0
258,2,1,1,0
259,3,1,1,0
260,12,1,1,0
261,1,1,1,0
262,1,1,1,0
263,3,1,1,0
264,3,1,1,0
265,3,1,1,0
266,3,1,1,0
267,6,1,1,0
268,2,1,1,0
269,4,1,1,0
270,1,1,1,0
271,4,1,1,0
272,1,1,1,0
273,7,1,1,0
274,1,1,1,0
275,1,1,1,0
276,1,1,1,0
277,3,1,1,0
278,1,1,1,0
279,5,1,1,0
280,5,1,1,0
281,5,1,1,0
282,6,1,1,0
283,3,1,1,0
284,2,1,1,0
285,12,1,1,0
286,2,1,1,0
287,3,1,1,0
288,9,1,1,0
289,1,1,1,0
290,1,1,1,0
291,5,1,1,0
292,1,1,1,0
293,3,1,1,0
294,2,1,1,0
295,5,1,1,0
296,2,1,1,0
297,5,1,1,0
298,1,1,1,0
299,7,1,1,0
300,6,1,1,0
301,2,1,1,0
302,1,1,1,0
303,3,1,1,0
304,6,1,1,0
305,2,1,1,0
306,2,1,1,0
307,8,1,1,0
308,3,1,1,0
309,3,1,1,0
310,3,1,1,0
311,1,1,1,0
312,1,1,1,0
313,3,1,1,0
314,5,1,1,0
315,4,1,1,0
316,2,1,1,0
317,3,1,1,0
318,3,1,1,0
319,4,1,1,0
320,3,1,1,0
321,16,1,1,0
322,3,1,1,0
323,2,1,1,0
324,6,1,1,0
325,8,1,1,0
326,3,1,1,0
327,1,1,1,0
328,4,1,1,0
329,3,1,1,0
330,1,1,1,0
331,8,1,1,0
332,3,1,1,0
333,8,1,1,0
334,2,1,1,0
335,5,1,1,0
336,3,1,1,0
337,1,1,1,0
338,4,1,1,0
339,3,1,1,0
340,2,1,1,0
341,4,1,1,0
342,1,1,1,0
343,1,1,1,0
344,13,1,1,0
345,6,1,1,0
346,1,1,1,0
347,2,1,1,0
348,1,1,1,0
349,1,1,1,0
350,1,1,1,0
351,2,1,1,0
352,3,1,1,0
353,22,1,1,0
354,5,1,1,0
355,2,1,1,0
356,7,1,1,0
357,2,1,1,0
358,2,1,1,0
359,3,1,1,0
360,2,1,1,0
361,2,1,1,0
362,2,1,1,0
363,7,1,1,0
364,2,1,1,0
365,1,1,1,0
366,4,1,1,0
367,3,1,1,0
368,5,1,1,0
369,4,1,1,0
370,1,1,1,0
371,2,1,1,0
372,1,1,1,0
373,3,1,1,0
374,4,1,1,0
375,4,1,1,0
376,2,1,1,0
377,2,1,1,0
378,5,1,1,0
379,1,1,1,0
380,4,1,1,0
381,2,1,1,0
382,4,1,1,0
383,1,1,1,0
384,6,1,1,0
385,1,1,1,0
386,1,1,1,0
387,3,1,1,0
388,1,1,1,0
389,1,1,1,0
390,3,1,1,0
391,6,1,1,0
392,4,1,1,0
393,1,1,1,0
394,4,1,1,0
395,3,1,1,0
396,7,1,1,0
397,3,1,1,0
398,1,1,1,0
399,4,1,1,0
400,5,1,1,0
401,5,1,1,0
402,1,1,1,0
403,2,1,1,0
404,1,1,1,0
405,1,1,1,0
406,5,1,1,0
407,4,1,1,0
408,1,1,1,0
409,3,1,1,0
410,1,1,1,0
411,3,1,1,0
412,12,1,1,0
413,1,1,1,0
414,5,1,1,0
415,3,1,1,0
416,7,1,1,0
417,2,1,1,0
418,2,1,1,0
419,2,1,1,0
420,3,1,1,0
421,2,1,1,0
422,1,1,1,0
423,1,1,1,0
424,1,1,1,0
425,4,1,1,0
426,1,1,1,0
427,1,1,1,0
428,1,1,1,0
429,1,1,1,0
430,1,1,1,0
431,6,1,1,0
432,1,1,1,0
433,4,1,1,0
434,6,1,1,0
435,2,1,1,0
436,3,1,1,0
437,3,1,1,0
438,1,1,1,0
439,3,1,1,0
440,2,1,1,0
441,3,1,1,0
442,2,1,1,0
443,9,1,1,0
444,9,1,1,0
445,3,1,1,0
446,7,1,1,0
447,1,1,1,0
448,1,1,1,0
449,1,1,1,0
450,1,1,1,0
451,4,1,1,0
452,6,1,1,0
453,2,1,1,0
454,2,1,1,0
455,2,1,1,0
456,5,1,1,0
457,5,1,1,0
458,3,1,1,0
459,1,1,1,0
460,4,1,1,0
461,2,1,1,0
462,1,1,1,0
463,1,1,1,0
464,2,1,1,0
465,2,1,1,0
466,1,1,1,0
467,2,1,1,0
468,4,1,1,0
469,4,1,1,0
470,1,1,1,0
471,1,1,1,0
472,5,1,1,0
473,3,1,1,0
474,3,1,1,0
475,3,1,1,0
476,2,1,1,0
477,2,1,1,0
478,5,1,1,0
479,1,1,1,0
480,3,1,1,0
481,3,1,1,0
482,2,1,1,0
483,5,1,1,0
484,5,1,1,0
485,2,1,1,0
486,3,1,1,0
487,1,1,1,0
488,3,1,1,0
489,5,1,1,0
490,1,1,1,0
491,1,1,1,0
492,3,1,1,0
493,1,1,1,0
494,2,1,1,0
495,3,1,1,0
496,12,1,1,0
497,1,1,1,0
498,1,1,1,0
499,1,1,1,0
500,19,1,1,0
501,5,1,1,0
502,3,1,1,0
503,3,1,1,0
504,2,1,1,0
505,6,1,1,0
506,3,1,1,0
507,1,1,1,0
508,6,1,1,0
509,3,1,1,0
510,3,1,1,0
511,6,1,1,0
512,4,1,1,0
513,2,1,1,0
514,3,1,1,0
515,2,1,1,0
516,1,1,1,0
517,3,1,1,0
518,9,1,1,0
519,5,1,1,0
520,1,1,1,0
521,1,1,1,0
522,1,1,1,0
523,1,1,1,0
524,6,1,1,0
525,3,1,1,0
526,1,1,1,0
527,1,1,1,0
528,1,1,1,0
529,7,1,1,0
530,5,1,1,0
531,2,1,1,0
532,2,1,1,0
533,1,1,1,0
534,1,1,1,0
535,4,1,1,0
536,3,1,1,0
537,2,1,1,0
538,3,1,1,0
539,3,1,1,0
540,7,1,1,0
541,6,1,1,0
542,1,1,1,0
543,10,1,1,0
544,3,1,1,0
545,2,1,1,0
546,13,1,1,0
547,1,1,1,0
548,2,1,1,0
549,1,1,1,0
550,3,1,1,0
551,3,1,1,0
552,1,1,1,0
553,6,1,1,0
554,1,1,1,0
555,4,1,1,0
556,1,1,1,0
557,5,1,1,0
558,3,1,1,0
559,4,1,1,0
560,1,1,1,0
561,2,1,1,0
562,10,1,1,0
563,1,1,1,0
564,1,1,1,0
565,6,1,1,0
566,10,1,1,0
567,5,1,1,0
568,1,1,1,0
569,4,1,1,0
570,2,1,1,0
571,2,1,1,0
572,1,1,1,0
573,3,1,1,0
574,2,1,1,0
575,1,1,1,0
576,2,1,1,0
577,5,1,1,0
578,4,1,1,0
579,8,1,1,0
580,1,1,1,0
581,2,1,1,0
582,5,1,1,0
583,2,1,1,0
584,12,1,1,0
585,2,1,1,0
586,4,1,1,0
587,2,1,1,0
588,1,1,1,0
589,1,1,1,0
590,1,1,1,0
591,3,1,1,0
592,5,1,1,0
593,2,1,1,0
594,2,1,1,0
595,3,1,1,0
596,1,1,1,0
597,1,1,1,0
598,1,1,1,0
599,4,1,1,0
600,4,1,1,0
601,1,1,1,0
602,5,1,1,0
603,3,1,1,0
604,11,1,1,0
605,1,1,1,0
606,4,1,1,0
607,3,1,1,0
608,2,1,1,0
609,6,1,1,0
610,2,1,1,0
611,9,1,1,0
612,7,1,1,0
613,5,1,1,0
614,1,1,1,0
615,4,1,1,0
616,3,1,1,0
617,3,1,1,0
618,6,1,1,0
619,6,1,1,0
620,3,1,1,0
621,2,1,1,0
622,1,1,1,0
623,4,1,1,0
624,1,1,1,0
625,5,1,1,0
626,1,1,1,0
627,2,1,1,0
628,7,1,1,0
629,4,1,1,0
630,6,1,1,0
631,8,1,1,0
632,6,1,1,0
633,3,1,1,0
634,1,1,1,0
635,1,1,1,0
636,4,1,1,0
637,2,1,1,0
638,1,1,1,0
639,7,1,1,0
640,2,1,1,0
641,10,1,1,0
642,5,1,1,0
643,1,1,1,0
644,2,1,1,0
645,4,1,1,0
646,6,1,1,0
647,1,1,1,0
648,2,1,1,0
649,5,1,1,0
650,1,1,1,0
651,3,1,1,0
652,5,1,1,0
653,11,1,1,0
654,6,1,1,0
655,5,1,1,0
656,2,1,1,0
657,1,1,1,0
658,5,1,1,0
659,1,1,1,0
660,4,1,1,0
661,2,1,1,0
662,4,1,1,0
663,3,1,1,0
664,3,1,1,0
665,3,1,1,0
666,4,1,1,0
667,2,1,1,0
668,4,1,1,0
669,1,1,1,0
670,1,1,1,0
671,1,1,1,0
672,6,1,1,0
673,3,1,1,0
674,1,1,1,0
675,2,1,1,0
676,2,1,1,0
677,3,1,1,0
678,7,1,1,0
679,1,1,1,0
680,3,1,1,0
681,6,1,1,0
682,5,1,1,0
683,3,1,1,0
684,5,1,1,0
685,3,1,1,0
686,1,1,1,0
687,1,1,1,0
688,5,1,1,0
689,1,1,1,0
690,2,1,1,0
691,4,1,1,0
692,4,1,1,0
