final_step,count,probability,geometric_fit
1,2443,0.2443,0.27721564605106314
2,1938,0.1938,0.20036713163555483
3,1737,0.1737,0.14482222779180612
4,1090,0.109,0.10467524035194636
5,870,0.087,0.07565762597223123
6,551,0.0551,0.05468414830964946
7,417,0.0417,0.03952484680723784
8,305,0.0305,0.028567940864500103
9,214,0.0214,0.020648460681399142
10,147,0.0147,0.014924384313645105
11,96,0.0096,0.010787111474223626
12,60,0.006,0.007796755397871888
13,44,0.0044,0.005635372813148719
14,25,0.0025,0.0040731592980131
15,20,0.002,0.002944015811745504
16,14,0.0014,0.002127888566507929
17,8,0.0008,0.0015380045628187629
18,8,0.0008,0.0011116456343074766
19,4,0.0004,0.0008034800716130859
20,3,0.0003,0.0005807428244717098
21,4,0.0004,0.00041975182719626564
22,1,0.0001,0.0003033900532389387
23,0,0.0,0.00021928558362483986
24,0,0.0,0.00015849618889059546
25,0,0.0,0.00011455856549065771
26,0,0.0,8.280113874748202e-05
27,0,0.0,5.984736757583508e-05
28,1,0.0001,4.325674090884451e-05
