dim_name,dim,model,case,L,N,T,n_trials,mean_lifetime,std_lifetime,min_lifetime,max_lifetime,median_lifetime,q25_lifetime,q75_lifetime,trapped_count,boundary_dead_count,contact_dead_count,trapped_fraction,boundary_dead_fraction,contact_dead_fraction,censored_count,censored_fraction,source_file
2d,2,death_on_contact,L64_N1000_T10000,64,1000,10000,10000,3.6352,2.817395025812523,1.0,25.0,3.0,2.0,5.0,10000,0,10000,1.0,0.0,1.0,0,0.0,data/2d/random_walk/death_on_contact/L64_N1000_T10000/final_steps.csv
2d,2,death_on_contact,L128_N1000_T10000,128,1000,10000,10000,3.6073,2.7924660242605754,1.0,28.0,3.0,2.0,5.0,10000,0,10000,1.0,0.0,1.0,0,0.0,data/2d/random_walk/death_on_contact/L128_N1000_T10000/final_steps.csv
2d,2,death_on_contact,L256_N1000_T10000,256,1000,10000,10000,3.5429,2.7778645112971785,1.0,29.0,3.0,1.0,5.0,10000,0,10000,1.0,0.0,1.0,0,0.0,data/2d/random_walk/death_on_contact/L256_N1000_T10000/final_steps.csv
2d,2,death_on_contact,L512_N1000_T10000,512,1000,10000,10000,3.5945,2.7412444604812634,1.0,29.0,3.0,2.0,5.0,10000,0,10000,1.0,0.0,1.0,0,0.0,data/2d/random_walk/death_on_contact/L512_N1000_T10000/final_steps.csv
2d,2,death_on_contact,L1024_N1000_T10000,1024,1000,10000,10000,3.6145,2.803582664658875,1.0,28.0,3.0,1.0,5.0,10000,0,10000,1.0,0.0,1.0,0,0.0,data/2d/random_walk/death_on_contact/L1024_N1000_T10000/final_steps.csv
2d,2,death_on_contact,L2048_N1000_T10000,2048,1000,10000,10000,3.5752,2.761287277836747,1.0,24.0,3.0,1.0,5.0,10000,0,10000,1.0,0.0,1.0,0,0.0,data/2d/random_walk/death_on_contact/L2048_N1000_T10000/final_steps.csv
2d,2,death_on_contact,L4096_N1000_T10000,4096,1000,10000,10000,3.6047,2.7896265183015383,1.0,31.0,3.0,2.0,5.0,10000,0,10000,1.0,0.0,1.0,0,0.0,data/2d/random_walk/death_on_contact/L4096_N1000_T10000/final_steps.csv
2d,2,death_on_contact,L8192_N1000_T10000,8192,1000,10000,10000,3.5473,2.698497896810355,1.0,26.0,3.0,2.0,5.0,10000,0,10000,1.0,0.0,1.0,0,0.0,data/2d/random_walk/death_on_contact/L8192_N1000_T10000/final_steps.csv
