trial,step,x,y,z
0,0,256,256,0
0,1,255,256,0
0,2,255,257,0
0,3,255,258,0
0,4,255,257,0
0,5,255,256,0
0,6,256,256,0
0,7,255,256,0
0,8,256,256,0
0,9,255,256,0
0,10,255,257,0
0,11,254,257,0
0,12,254,258,0
0,13,254,257,0
0,14,255,257,0
0,15,255,256,0
0,16,255,255,0
0,17,255,254,0
0,18,255,255,0
0,19,255,254,0
0,20,256,254,0
0,21,255,254,0
0,22,255,255,0
0,23,256,255,0
0,24,255,255,0
0,25,254,255,0
0,26,254,256,0
0,27,254,257,0
0,28,255,257,0
0,29,255,256,0
0,30,255,257,0
0,31,254,257,0
0,32,255,257,0
0,33,256,257,0
0,34,256,256,0
0,35,256,255,0
0,36,257,255,0
0,37,257,254,0
0,38,256,254,0
0,39,257,254,0
0,40,258,254,0
0,41,258,253,0
0,42,257,253,0
0,43,257,254,0
0,44,257,255,0
0,45,257,256,0
0,46,257,257,0
0,47,257,258,0
0,48,256,258,0
0,49,257,258,0
0,50,256,258,0
0,51,255,258,0
0,52,254,258,0
0,53,255,258,0
0,54,254,258,0
0,55,254,259,0
0,56,253,259,0
0,57,254,259,0
0,58,255,259,0
0,59,254,259,0
0,60,254,258,0
0,61,254,259,0
0,62,254,260,0
0,63,254,259,0
0,64,254,258,0
0,65,253,258,0
0,66,253,257,0
0,67,253,256,0
0,68,254,256,0
0,69,255,256,0
0,70,255,255,0
0,71,256,255,0
0,72,256,254,0
0,73,257,254,0
0,74,257,255,0
0,75,257,256,0
0,76,257,257,0
0,77,258,257,0
0,78,259,257,0
0,79,259,256,0
0,80,260,256,0
0,81,259,256,0
0,82,258,256,0
0,83,257,256,0
0,84,256,256,0
0,85,256,257,0
0,86,256,256,0
0,87,256,257,0
0,88,256,258,0
0,89,256,257,0
0,90,256,256,0
0,91,255,256,0
0,92,255,257,0
0,93,254,257,0
0,94,253,257,0
0,95,252,257,0
0,96,252,258,0
0,97,253,258,0
0,98,254,258,0
0,99,254,259,0
0,100,255,259,0
0,101,255,258,0
0,102,255,259,0
0,103,255,258,0
0,104,255,257,0
0,105,254,257,0
0,106,253,257,0
0,107,253,258,0
0,108,252,258,0
0,109,251,258,0
0,110,250,258,0
0,111,250,259,0
0,112,250,258,0
0,113,250,259,0
0,114,250,258,0
0,115,251,258,0
0,116,250,258,0
0,117,250,257,0
0,118,250,256,0
0,119,250,255,0
0,120,250,256,0
0,121,250,257,0
0,122,249,257,0
0,123,250,257,0
0,124,251,257,0
0,125,251,258,0
0,126,250,258,0
0,127,250,259,0
0,128,250,260,0
0,129,249,260,0
0,130,248,260,0
0,131,248,261,0
0,132,249,261,0
0,133,249,260,0
0,134,248,260,0
0,135,249,260,0
0,136,250,260,0
0,137,250,259,0
0,138,250,260,0
0,139,250,261,0
0,140,251,261,0
0,141,251,260,0
0,142,252,260,0
0,143,252,259,0
0,144,252,260,0
0,145,252,259,0
0,146,253,259,0
0,147,253,258,0
0,148,253,259,0
0,149,253,258,0
0,150,253,259,0
0,151,252,259,0
0,152,251,259,0
0,153,251,258,0
0,154,250,258,0
0,155,249,258,0
0,156,248,258,0
0,157,248,257,0
0,158,249,257,0
0,159,249,256,0
0,160,250,256,0
0,161,249,256,0
0,162,248,256,0
0,163,247,256,0
0,164,248,256,0
0,165,248,255,0
0,166,247,255,0
0,167,246,255,0
0,168,246,256,0
0,169,246,255,0
0,170,246,254,0
0,171,246,255,0
0,172,246,256,0
0,173,246,255,0
0,174,246,256,0
0,175,247,256,0
0,176,247,257,0
0,177,247,258,0
0,178,247,257,0
0,179,246,257,0
0,180,245,257,0
0,181,245,258,0
0,182,245,259,0
0,183,245,260,0
0,184,244,260,0
0,185,244,259,0
0,186,245,259,0
0,187,245,258,0
0,188,245,259,0
0,189,246,259,0
0,190,246,260,0
0,191,246,259,0
0,192,245,259,0
0,193,246,259,0
0,194,247,259,0
0,195,246,259,0
0,196,246,258,0
0,197,245,258,0
0,198,245,259,0
0,199,244,259,0
0,200,245,259,0
0,201,244,259,0
0,202,244,258,0
0,203,244,259,0
0,204,245,259,0
