final_step,count,probability,geometric_fit
1,2426,0.2426,0.2782028098483795
2,1938,0.1938,0.20080600644084587
3,1673,0.1673,0.14494121121457076
4,1165,0.1165,0.1046181589918497
5,902,0.0902,0.0755130931991526
6,576,0.0576,0.05450513849080579
7,420,0.042,0.03934165581148856
8,262,0.0262,0.02839669662064461
9,229,0.0229,0.020496655830369297
10,134,0.0134,0.014794428585865388
11,98,0.0098,0.010678576983176449
12,59,0.0059,0.007707766861274529
13,46,0.0046,0.00556344446281173
14,18,0.0018,0.004015678580822099
15,18,0.0018,0.002898505516189437
16,11,0.0011,0.002092133137224508
17,7,0.0007,0.0015100958198717449
18,5,0.0005,0.0010899829196431329
19,7,0.0007,0.0007867466087116728
20,2,0.0002,0.000567871491529402
21,1,0.0001,0.00040988804695313205
22,1,0.0001,0.00029585604056750616
23,0,0.0,0.0002135480587710098
24,0,0.0,0.00015413838878324798
25,1,0.0001,0.00011125665591824645
26,0,0.0,8.030474162745595e-05
27,0,0.0,5.796373686254957e-05
28,0,0.0,4.183806239807618e-05
29,1,0.0001,3.0198595880319555e-05
