step,mean_r2,mean_r,std_r2,std_r,n_alive,trapped_rate,mean_rg2,std_rg2,mean_r2_all,mean_rg2_all,min_r2,max_r2,se_r2,cv_r2
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,1.0000000000,1.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.2500000000,0.0000000000,1.0000000000,0.2500000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
2,1.9912000000,1.2033695229,1.4119215842,0.7369544025,10000,0.0000000000,0.4434666667,0.1568801760,1.9912000000,0.4434666667,0.0000000000,4.0000000000,0.0141192158,0.7090807474
3,3.0048000000,1.5907641907,2.4390114719,0.6886721206,10000,0.0000000000,0.6255250000,0.2641490571,3.0048000000,0.6255250000,1.0000000000,9.0000000000,0.0243901147,0.8117050958
4,3.9812000000,1.7452286734,3.4695888171,0.9671488394,10000,0.0000000000,0.8000160000,0.3711827579,3.9812000000,0.8000160000,0.0000000000,16.0000000000,0.0346958882,0.8714932224
5,4.9860000000,2.0159752121,4.4654903426,0.9601270459,10000,0.0000000000,0.9732444444,0.4774070313,4.9860000000,0.9732444444,1.0000000000,25.0000000000,0.0446549034,0.8956057647
6,5.9302000000,2.1510379947,5.3653264542,1.1415934238,10000,0.0000000000,1.1416122449,0.5776165965,5.9302000000,1.1416122449,0.0000000000,36.0000000000,0.0536532645,0.9047462909
7,6.9636000000,2.3692519860,6.4156274081,1.1620004419,10000,0.0000000000,1.3132406250,0.6840799438,6.9636000000,1.3132406250,1.0000000000,49.0000000000,0.0641562741,0.9213090080
8,7.9752000000,2.4956124747,7.4532264799,1.3217860553,10000,0.0000000000,1.4836098765,0.7913245383,7.9752000000,1.4836098765,0.0000000000,50.0000000000,0.0745322648,0.9345504163
9,8.9472000000,2.6733847971,8.4843628022,1.3417204354,10000,0.0000000000,1.6518800000,0.8983697154,8.9472000000,1.6518800000,1.0000000000,65.0000000000,0.0848436280,0.9482701630
10,9.9516000000,2.7874464042,9.4988871685,1.4770722878,10000,0.0000000000,1.8200776860,1.0054173518,9.9516000000,1.8200776860,0.0000000000,68.0000000000,0.0949888717,0.9545085382
11,10.9372000000,2.9446255736,10.5267305542,1.5054501756,10000,0.0000000000,1.9874194444,1.1140030530,10.9372000000,1.9874194444,1.0000000000,85.0000000000,0.1052673055,0.9624703356
12,11.9650000000,3.0539817162,11.5351972241,1.6242523441,10000,0.0000000000,2.1559893491,1.2249533333,11.9650000000,2.1559893491,0.0000000000,100.0000000000,0.1153519722,0.9640783305
13,12.9224000000,3.1997394740,12.5104907274,1.6383123324,10000,0.0000000000,2.3230816327,1.3322303356,12.9224000000,2.3230816327,1.0000000000,101.0000000000,0.1251049073,0.9681243985
14,13.9356000000,3.3063005931,13.3885567796,1.7331983119,10000,0.0000000000,2.4919982222,1.4377729511,13.9356000000,2.4919982222,0.0000000000,104.0000000000,0.1338855678,0.9607449108
15,15.0040000000,3.4480700073,14.4928114595,1.7648833460,10000,0.0000000000,2.6614140625,1.5440175446,15.0040000000,2.6614140625,1.0000000000,101.0000000000,0.1449281146,0.9659298493
16,16.0616000000,3.5460273598,15.6604024674,1.8674287037,10000,0.0000000000,2.8310200692,1.6526045395,16.0616000000,2.8310200692,0.0000000000,122.0000000000,0.1566040247,0.9750213221
17,17.0904000000,3.6741085165,16.6893926744,1.8950795784,10000,0.0000000000,2.9997864198,1.7614353728,17.0904000000,2.9997864198,1.0000000000,145.0000000000,0.1668939267,0.9765361065
18,18.1440000000,3.7702061146,17.6847749208,1.9823082135,10000,0.0000000000,3.1684011080,1.8717581739,18.1440000000,3.1684011080,0.0000000000,170.0000000000,0.1768477492,0.9746899758
19,19.1468000000,3.8925428231,18.6270569270,1.9987271876,10000,0.0000000000,3.3366695000,1.9799219834,19.1468000000,3.3366695000,1.0000000000,173.0000000000,0.1862705693,0.9728548335
20,20.1598000000,3.9772704951,19.7490167846,2.0835353150,10000,0.0000000000,3.5047197279,2.0886894919,20.1598000000,3.5047197279,0.0000000000,200.0000000000,0.1974901678,0.9796236463
21,21.1772000000,4.0839893651,20.8864884593,2.1209033136,10000,0.0000000000,3.6715322314,2.1995601974,21.1772000000,3.6715322314,1.0000000000,197.0000000000,0.2088648846,0.9862724279
22,22.0618000000,4.1566158138,21.8297361587,2.1873145581,10000,0.0000000000,3.8353958412,2.3091596995,22.0618000000,3.8353958412,0.0000000000,200.0000000000,0.2182973616,0.9894811919
23,23.0820000000,4.2657747687,22.8079914942,2.2102410780,10000,0.0000000000,4.0004395833,2.4168674714,23.0820000000,4.0004395833,1.0000000000,229.0000000000,0.2280799149,0.9881289097
24,24.0712000000,4.3402348894,23.9036677219,2.2876977740,10000,0.0000000000,4.1666393600,2.5245503236,24.0712000000,4.1666393600,0.0000000000,234.0000000000,0.2390366772,0.9930401360
