final_step,count,probability,geometric_fit
1,2478,0.2478,0.27508802816901406
2,1848,0.1848,0.1994146049270978
3,1688,0.1688,0.14455803446959953
4,1151,0.1151,0.10479184981136903
5,869,0.0869,0.07596486647857606
6,585,0.0585,0.055067841148862144
7,442,0.0442,0.03991933731169716
8,294,0.0294,0.028938005524808644
9,190,0.019,0.020977506645845
10,149,0.0149,0.015206845706737112
11,102,0.0102,0.011023624506600363
12,57,0.0057,0.007991157377804049
13,47,0.0047,0.005792885651955665
14,41,0.0041,0.004199332160550608
15,16,0.0016,0.0030441461568780155
16,20,0.002,0.0022067379931241604
17,3,0.0003,0.0015996907899099879
18,6,0.0006,0.001159635004833517
19,3,0.0003,0.0008406332979580998
20,2,0.0002,0.0006093851416095909
21,2,0.0002,0.0004417505846087131
22,3,0.0003,0.0003202302873461931
23,3,0.0003,0.00023213876904013204
24,0,0.0,0.00016828017280329994
25,1,0.0001,0.00012198831188689924
