final_step,count,probability,geometric_fit
1,2566,0.2566,0.2766634389265459
2,1734,0.1734,0.2001207804878833
3,1724,0.1724,0.14475467715744111
4,1163,0.1163,0.10470635037436153
5,900,0.09,0.07573793140234283
6,565,0.0565,0.054784014843387845
7,407,0.0407,0.039627280898613226
8,286,0.0286,0.02866386108989467
9,225,0.0225,0.0207336187078516
10,114,0.0114,0.01499738445474561
11,103,0.0103,0.01084815649659217
12,70,0.007,0.00784686821423163
13,49,0.0049,0.0056759266692789035
14,40,0.004,0.004105605277861306
15,21,0.0021,0.0029697344028132206
16,8,0.0008,0.002148117470232443
17,5,0.0005,0.001553811903699743
18,9,0.0009,0.0011239289589771693
19,3,0.0003,0.0008129789080774129
20,3,0.0003,0.0005880573675939676
21,2,0.0002,0.00042536339398932863
22,0,0.0,0.00030768089461477376
23,1,0.0001,0.00022255684021865428
24,0,0.0,0.0001609834994471356
25,1,0.0001,0.00011644525087966135
26,0,0.0,8.422910732462985e-05
27,0,0.0,6.0925992834484646e-05
28,1,0.0001,4.4069998136882026e-05
