trial,step,x,y,z
0,0,64,64,0
0,1,63,64,0
0,2,63,63,0
0,3,64,63,0
0,4,65,63,0
0,5,65,64,0
0,6,66,64,0
0,7,66,65,0
0,8,66,66,0
0,9,67,66,0
0,10,67,67,0
0,11,66,67,0
0,12,65,67,0
0,13,65,68,0
0,14,66,68,0
0,15,66,69,0
0,16,67,69,0
0,17,67,68,0
0,18,68,68,0
0,19,69,68,0
0,20,70,68,0
0,21,71,68,0
0,22,72,68,0
0,23,73,68,0
0,24,73,69,0
0,25,73,70,0
0,26,73,71,0
0,27,74,71,0
0,28,74,70,0
0,29,74,69,0
0,30,75,69,0
0,31,76,69,0
0,32,77,69,0
0,33,77,70,0
0,34,76,70,0
0,35,76,71,0
0,36,77,71,0
0,37,78,71,0
0,38,78,72,0
0,39,78,73,0
0,40,79,73,0
0,41,79,72,0
0,42,80,72,0
0,43,80,73,0
0,44,81,73,0
0,45,81,74,0
0,46,82,74,0
0,47,82,73,0
0,48,82,72,0
0,49,81,72,0
0,50,81,71,0
0,51,80,71,0
0,52,80,70,0
0,53,81,70,0
0,54,81,69,0
0,55,80,69,0
0,56,80,68,0
0,57,79,68,0
0,58,79,67,0
0,59,80,67,0
0,60,81,67,0
0,61,81,68,0
0,62,82,68,0
0,63,82,67,0
0,64,83,67,0
0,65,84,67,0
0,66,84,66,0
0,67,83,66,0
0,68,83,65,0
0,69,84,65,0
0,70,84,64,0
0,71,85,64,0
0,72,85,65,0
0,73,85,66,0
0,74,86,66,0
0,75,86,65,0
0,76,86,64,0
0,77,87,64,0
0,78,87,63,0
0,79,87,62,0
0,80,87,61,0
0,81,88,61,0
0,82,88,62,0
0,83,89,62,0
0,84,89,63,0
0,85,90,63,0
0,86,91,63,0
0,87,92,63,0
0,88,92,64,0
0,89,93,64,0
0,90,93,65,0
0,91,92,65,0
0,92,92,66,0
0,93,93,66,0
0,94,93,67,0
0,95,93,68,0
0,96,94,68,0
0,97,95,68,0
0,98,95,69,0
0,99,94,69,0
0,100,93,69,0
0,101,92,69,0
0,102,92,70,0
0,103,92,71,0
0,104,91,71,0
0,105,91,70,0
0,106,90,70,0
0,107,89,70,0
0,108,89,69,0
0,109,89,68,0
0,110,88,68,0
0,111,88,67,0
0,112,88,66,0
0,113,89,66,0
0,114,89,67,0
0,115,90,67,0
0,116,91,67,0
0,117,91,66,0
0,118,90,66,0
0,119,90,65,0
0,120,90,64,0
0,121,91,64,0
0,122,91,65,0
