trial,final_step,trapped,contact_dead,boundary_dead
0,84,1,0,0
1,33,1,0,0
2,125,1,0,0
3,49,1,0,0
4,26,1,0,0
5,42,1,0,0
6,58,1,0,0
7,34,1,0,0
8,20,1,0,0
9,51,1,0,0
10,66,1,0,0
11,139,1,0,0
12,47,1,0,0
13,32,1,0,0
14,55,1,0,0
15,34,1,0,0
16,299,1,0,0
17,50,1,0,0
18,82,1,0,0
19,54,1,0,0
20,19,1,0,0
21,121,1,0,0
22,62,1,0,0
23,41,1,0,0
24,126,1,0,0
25,49,1,0,0
26,40,1,0,0
27,36,1,0,0
28,17,1,0,0
29,39,1,0,0
30,117,1,0,0
31,111,1,0,0
32,77,1,0,0
33,75,1,0,0
34,31,1,0,0
35,60,1,0,0
36,141,1,0,0
37,37,1,0,0
38,45,1,0,0
39,105,1,0,0
40,56,1,0,0
41,44,1,0,0
42,39,1,0,0
43,110,1,0,0
44,27,1,0,0
45,58,1,0,0
46,38,1,0,0
47,28,1,0,0
48,54,1,0,0
49,197,1,0,0
50,145,1,0,0
51,146,1,0,0
52,70,1,0,0
53,77,1,0,0
54,67,1,0,0
55,155,1,0,0
56,35,1,0,0
57,9,1,0,0
58,24,1,0,0
59,66,1,0,0
60,43,1,0,0
61,49,1,0,0
62,41,1,0,0
63,35,1,0,0
64,112,1,0,0
65,39,1,0,0
66,45,1,0,0
67,138,1,0,0
68,132,1,0,0
69,41,1,0,0
70,112,1,0,0
71,77,1,0,0
72,76,1,0,0
73,53,1,0,0
74,37,1,0,0
75,38,1,0,0
76,13,1,0,0
77,23,1,0,0
78,55,1,0,0
79,32,1,0,0
80,38,1,0,0
81,25,1,0,0
82,58,1,0,0
83,107,1,0,0
84,62,1,0,0
85,59,1,0,0
86,110,1,0,0
87,62,1,0,0
88,72,1,0,0
89,49,1,0,0
90,65,1,0,0
91,194,1,0,0
92,35,1,0,0
93,12,1,0,0
94,84,1,0,0
95,56,1,0,0
96,61,1,0,0
97,108,1,0,0
98,73,1,0,0
99,96,1,0,0
100,53,1,0,0
101,51,1,0,0
102,60,1,0,0
103,59,1,0,0
104,138,1,0,0
105,14,1,0,0
106,8,1,0,0
107,48,1,0,0
108,114,1,0,0
109,77,1,0,0
110,15,1,0,0
111,104,1,0,0
112,109,1,0,0
113,158,1,0,0
114,37,1,0,0
115,98,1,0,0
116,32,1,0,0
117,116,1,0,0
118,106,1,0,0
119,129,1,0,0
120,64,1,0,0
121,134,1,0,0
122,82,1,0,0
123,93,1,0,0
124,20,1,0,0
125,125,1,0,0
126,33,1,0,0
127,99,1,0,0
128,15,1,0,0
129,42,1,0,0
130,32,1,0,0
131,11,1,0,0
132,43,1,0,0
133,68,1,0,0
134,76,1,0,0
135,88,1,0,0
136,30,1,0,0
137,110,1,0,0
138,135,1,0,0
139,46,1,0,0
140,45,1,0,0
141,123,1,0,0
142,130,1,0,0
143,37,1,0,0
144,81,1,0,0
145,14,1,0,0
146,19,1,0,0
147,62,1,0,0
148,69,1,0,0
149,79,1,0,0
150,35,1,0,0
151,44,1,0,0
152,87,1,0,0
153,62,1,0,0
154,151,1,0,0
155,22,1,0,0
156,79,1,0,0
157,241,1,0,0
158,192,1,0,0
159,21,1,0,0
160,54,1,0,0
161,157,1,0,0
162,185,1,0,0
163,112,1,0,0
164,111,1,0,0
165,65,1,0,0
166,93,1,0,0
167,106,1,0,0
168,27,1,0,0
169,81,1,0,0
170,40,1,0,0
171,31,1,0,0
172,17,1,0,0
173,33,1,0,0
174,48,1,0,0
175,22,1,0,0
176,80,1,0,0
177,28,1,0,0
178,60,1,0,0
179,21,1,0,0
180,89,1,0,0
181,47,1,0,0
182,68,1,0,0
183,82,1,0,0
184,44,1,0,0
185,26,1,0,0
186,48,1,0,0
187,52,1,0,0
188,81,1,0,0
189,20,1,0,0
190,100,1,0,0
191,96,1,0,0
192,22,1,0,0
193,24,1,0,0
194,30,1,0,0
195,227,1,0,0
196,66,1,0,0
197,119,1,0,0
198,79,1,0,0
199,20,1,0,0
200,78,1,0,0
201,72,1,0,0
202,111,1,0,0
203,52,1,0,0
204,20,1,0,0
205,24,1,0,0
206,12,1,0,0
207,43,1,0,0
208,35,1,0,0
209,171,1,0,0
210,85,1,0,0
211,106,1,0,0
212,49,1,0,0
213,76,1,0,0
214,63,1,0,0
215,128,1,0,0
216,141,1,0,0
217,72,1,0,0
218,57,1,0,0
219,18,1,0,0
220,135,1,0,0
221,65,1,0,0
222,74,1,0,0
223,16,1,0,0
224,50,1,0,0
225,86,1,0,0
226,34,1,0,0
227,12,1,0,0
228,92,1,0,0
229,59,1,0,0
230,27,1,0,0
231,69,1,0,0
232,50,1,0,0
233,82,1,0,0
234,79,1,0,0
235,92,1,0,0
236,73,1,0,0
237,18,1,0,0
238,19,1,0,0
239,50,1,0,0
240,84,1,0,0
241,91,1,0,0
242,95,1,0,0
243,95,1,0,0
244,34,1,0,0
245,109,1,0,0
246,114,1,0,0
247,31,1,0,0
248,9,1,0,0
249,47,1,0,0
250,66,1,0,0
251,25,1,0,0
252,46,1,0,0
253,13,1,0,0
254,159,1,0,0
255,28,1,0,0
256,94,1,0,0
257,92,1,0,0
258,14,1,0,0
259,101,1,0,0
260,23,1,0,0
261,108,1,0,0
262,73,1,0,0
263,45,1,0,0
264,46,1,0,0
265,76,1,0,0
266,19,1,0,0
267,67,1,0,0
268,35,1,0,0
269,101,1,0,0
270,103,1,0,0
271,33,1,0,0
272,110,1,0,0
273,58,1,0,0
274,116,1,0,0
275,53,1,0,0
276,48,1,0,0
277,17,1,0,0
278,45,1,0,0
279,37,1,0,0
280,76,1,0,0
281,51,1,0,0
282,7,1,0,0
283,47,1,0,0
284,78,1,0,0
285,121,1,0,0
286,44,1,0,0
287,114,1,0,0
288,26,1,0,0
289,71,1,0,0
290,39,1,0,0
291,59,1,0,0
292,38,1,0,0
293,54,1,0,0
294,34,1,0,0
295,40,1,0,0
296,50,1,0,0
297,30,1,0,0
