step,mean_r2,mean_r,std_r2,std_r,n_alive,trapped_rate,mean_rg2,std_rg2,mean_r2_all,mean_rg2_all,min_r2,max_r2,se_r2,cv_r2
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,1.0000000000,1.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.2500000000,0.0000000000,1.0000000000,0.2500000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
2,2.6720000000,1.6110378054,0.9446777228,0.2766896990,10000,0.0000000000,0.5191111111,0.1049641914,2.6720000000,0.5191111111,2.0000000000,4.0000000000,0.0094467772,0.3535470520
3,4.5424000000,2.0419242147,2.2793425017,0.6106926407,10000,0.0000000000,0.8050500000,0.2144559920,4.5424000000,0.8050500000,1.0000000000,9.0000000000,0.0227934250,0.5017925550
4,6.7042000000,2.4855087157,3.5961788554,0.7255662783,10000,0.0000000000,1.1270240000,0.3129369640,6.7042000000,1.1270240000,2.0000000000,16.0000000000,0.0359617886,0.5364068577
5,8.9016000000,2.8308642012,5.2196472524,0.9422355725,10000,0.0000000000,1.4621222222,0.4340938794,8.9016000000,1.4621222222,1.0000000000,25.0000000000,0.0521964725,0.5863718042
6,11.3098000000,3.1924110140,6.7827445743,1.0575026797,10000,0.0000000000,1.8216081633,0.5542647582,11.3098000000,1.8216081633,2.0000000000,36.0000000000,0.0678274457,0.5997227691
7,13.7236000000,3.4901591719,8.6251494503,1.2419295288,10000,0.0000000000,2.1917531250,0.6937733504,13.7236000000,2.1917531250,1.0000000000,49.0000000000,0.0862514945,0.6284902978
8,16.3055332799,3.8035666993,10.4741095175,1.3558811318,9976,0.0024000000,2.5804325443,0.8370720990,16.2688000000,2.5771645062,2.0000000000,64.0000000000,0.1048670112,0.6423653454
9,18.9216080402,4.0762549134,12.5264538340,1.5184709154,9950,0.0050000000,2.9809587940,0.9961205681,18.8368000000,2.9726629506,1.0000000000,81.0000000000,0.1255788790,0.6620184610
10,21.6455491563,4.3586968289,14.5786692082,1.6270559641,9897,0.0103000000,3.3973363662,1.1605478302,21.4481000000,3.3778777523,2.0000000000,82.0000000000,0.1465433437,0.6735181031
11,24.4827061568,4.6166843542,16.8966771194,1.7801493563,9859,0.0141000000,3.8235749062,1.3415185354,24.1816000000,3.7926262027,1.0000000000,101.0000000000,0.1701707339,0.6901474458
12,27.3979153893,4.8805981746,19.1568987207,1.8914747810,9786,0.0214000000,4.2653821363,1.5308646851,26.8970000000,4.2139972168,2.0000000000,122.0000000000,0.1936522724,0.6992100840
13,30.3795657990,5.1274076258,21.4737180312,2.0221910983,9719,0.0281000000,4.7152007114,1.7260487385,29.6631000000,4.6403587764,1.0000000000,125.0000000000,0.2178193487,0.7068474307
14,33.3055296193,5.3725188975,23.5928637465,2.1075033370,9639,0.0361000000,5.1749360814,1.9167596439,32.3056000000,5.0687311959,2.0000000000,148.0000000000,0.2403060304,0.7083767776
15,36.3541514360,5.6057083363,25.8557195242,2.2204020997,9575,0.0425000000,5.6364800914,2.1117197508,35.0757000000,5.4982688834,1.0000000000,169.0000000000,0.2642331102,0.7112177978
16,39.5343535620,5.8468664693,28.2703450319,2.3126837338,9475,0.0525000000,6.1124109156,2.3072464103,37.8410000000,5.9285422885,2.0000000000,196.0000000000,0.2904300166,0.7150830224
17,42.7344981888,6.0684023001,30.8305694277,2.4308417704,9386,0.0614000000,6.5901388461,2.5150376151,40.6216000000,6.3593351908,1.0000000000,197.0000000000,0.3182301116,0.7214445175
18,45.7900623790,6.2843284198,33.1764645776,2.5094379234,9298,0.0702000000,7.0723421294,2.7208826930,43.2186000000,6.7888538410,2.0000000000,226.0000000000,0.3440609095,0.7245341643
19,48.8125610153,6.4792079274,35.6827996012,2.6138909022,9219,0.0781000000,7.5554143616,2.9321239233,45.7885000000,7.2157476817,1.0000000000,257.0000000000,0.3716353466,0.7310167477
20,52.2184929253,6.7138375074,38.0517603558,2.6726164801,9117,0.0883000000,8.0568263867,3.1423881116,48.5564000000,7.6464857985,2.0000000000,260.0000000000,0.3985187648,0.7287027684
21,55.7599378192,6.9321793778,40.8556590345,2.7757569948,9006,0.0994000000,8.5719148667,3.3619079104,51.4176000000,8.0820307854,1.0000000000,257.0000000000,0.4305129791,0.7327063234
22,59.2003142184,7.1429595692,43.5682717533,2.8597976870,8911,0.1089000000,9.0907476348,3.5857438347,54.1691000000,8.5189548871,2.0000000000,290.0000000000,0.4615376251,0.7359466302
23,62.8070673787,7.3529229563,46.2943905273,2.9566182332,8801,0.1199000000,9.6218240667,3.8163056800,56.9782000000,8.9579006981,1.0000000000,325.0000000000,0.4934718238,0.7370888733
24,66.4320902394,7.5654366521,48.9499757961,3.0325333474,8688,0.1312000000,10.1584220994,4.0499980711,59.7580000000,9.3966135126,2.0000000000,362.0000000000,0.5251611314,0.7368423245
