trial,final_step,trapped,boundary_dead,contact_dead
0,122,1,0,0
1,27,1,0,0
2,51,1,0,0
3,19,1,0,0
4,92,1,0,0
5,34,1,0,0
6,23,1,0,0
7,117,1,0,0
8,100,1,0,0
9,88,1,0,0
10,27,1,0,0
11,29,1,0,0
12,176,1,0,0
13,68,1,0,0
14,145,1,0,0
15,44,1,0,0
16,107,1,0,0
17,65,1,0,0
18,43,1,0,0
19,68,1,0,0
20,244,1,0,0
21,28,1,0,0
22,119,1,0,0
23,30,1,0,0
24,39,1,0,0
25,8,1,0,0
26,32,1,0,0
27,63,1,0,0
28,46,1,0,0
29,50,1,0,0
30,12,1,0,0
31,144,1,0,0
32,153,1,0,0
33,39,1,0,0
34,76,1,0,0
35,60,1,0,0
36,73,1,0,0
37,43,1,0,0
38,171,1,0,0
39,35,1,0,0
40,77,1,0,0
41,11,1,0,0
42,46,1,0,0
43,45,1,0,0
44,61,1,0,0
45,83,1,0,0
46,27,1,0,0
47,24,1,0,0
48,72,1,0,0
49,39,1,0,0
50,54,1,0,0
51,30,1,0,0
52,25,1,0,0
53,28,1,0,0
54,45,1,0,0
55,63,1,0,0
56,56,1,0,0
57,12,1,0,0
58,156,1,0,0
59,48,1,0,0
60,124,1,0,0
61,83,1,0,0
62,27,1,0,0
63,50,1,0,0
64,85,1,0,0
65,98,1,0,0
66,124,1,0,0
67,132,1,0,0
68,32,1,0,0
69,11,1,0,0
70,18,1,0,0
71,15,1,0,0
72,8,1,0,0
73,122,1,0,0
74,70,1,0,0
75,12,1,0,0
76,252,1,0,0
77,120,1,0,0
78,82,1,0,0
79,35,1,0,0
80,18,1,0,0
81,15,1,0,0
82,101,1,0,0
83,88,1,0,0
84,34,1,0,0
85,164,1,0,0
86,35,1,0,0
87,24,1,0,0
88,48,1,0,0
89,56,1,0,0
90,121,1,0,0
91,64,1,0,0
92,220,1,0,0
93,23,1,0,0
94,35,1,0,0
95,41,1,0,0
96,59,1,0,0
97,67,1,0,0
98,57,1,0,0
99,45,1,0,0
100,44,1,0,0
101,213,1,0,0
102,107,1,0,0
103,33,1,0,0
104,40,1,0,0
105,52,1,0,0
106,72,1,0,0
107,94,1,0,0
108,62,1,0,0
109,21,1,0,0
110,153,1,0,0
111,19,1,0,0
112,130,1,0,0
113,62,1,0,0
114,92,1,0,0
115,137,1,0,0
116,50,1,0,0
117,110,1,0,0
118,71,1,0,0
119,102,1,0,0
120,44,1,0,0
121,76,1,0,0
122,23,1,0,0
123,86,1,0,0
124,26,1,0,0
125,48,1,0,0
126,160,1,0,0
127,41,1,0,0
128,36,1,0,0
129,16,1,0,0
130,62,1,0,0
131,54,1,0,0
132,18,1,0,0
133,72,1,0,0
134,45,1,0,0
135,64,1,0,0
136,41,1,0,0
137,150,1,0,0
138,12,1,0,0
139,178,1,0,0
140,16,1,0,0
141,48,1,0,0
142,18,1,0,0
143,49,1,0,0
144,13,1,0,0
145,116,1,0,0
146,53,1,0,0
147,33,1,0,0
148,70,1,0,0
149,85,1,0,0
150,101,1,0,0
151,38,1,0,0
152,70,1,0,0
153,19,1,0,0
154,96,1,0,0
155,39,1,0,0
156,114,1,0,0
157,74,1,0,0
158,161,1,0,0
159,104,1,0,0
160,81,1,0,0
161,30,1,0,0
162,155,1,0,0
163,20,1,0,0
164,17,1,0,0
165,102,1,0,0
166,119,1,0,0
167,60,1,0,0
168,82,1,0,0
169,52,1,0,0
170,68,1,0,0
171,12,1,0,0
172,11,1,0,0
173,29,1,0,0
174,76,1,0,0
175,96,1,0,0
176,101,1,0,0
177,105,1,0,0
178,50,1,0,0
179,20,1,0,0
180,53,1,0,0
181,114,1,0,0
182,84,1,0,0
183,26,1,0,0
184,36,1,0,0
185,25,1,0,0
186,78,1,0,0
187,48,1,0,0
188,26,1,0,0
189,34,1,0,0
190,16,1,0,0
191,46,1,0,0
192,53,1,0,0
193,76,1,0,0
194,48,1,0,0
195,55,1,0,0
196,33,1,0,0
197,61,1,0,0
198,71,1,0,0
199,214,1,0,0
200,25,1,0,0
201,36,1,0,0
202,54,1,0,0
203,18,1,0,0
204,216,1,0,0
205,172,1,0,0
206,84,1,0,0
207,66,1,0,0
208,16,1,0,0
209,143,1,0,0
210,55,1,0,0
211,101,1,0,0
212,147,1,0,0
213,34,1,0,0
214,26,1,0,0
215,42,1,0,0
216,43,1,0,0
217,23,1,0,0
218,43,1,0,0
219,64,1,0,0
220,30,1,0,0
221,76,1,0,0
222,30,1,0,0
223,26,1,0,0
224,64,1,0,0
225,83,1,0,0
226,44,1,0,0
227,36,1,0,0
228,39,1,0,0
229,8,1,0,0
230,141,1,0,0
231,21,1,0,0
232,65,1,0,0
233,22,1,0,0
234,133,1,0,0
235,110,1,0,0
236,59,1,0,0
237,49,1,0,0
238,16,1,0,0
239,18,1,0,0
