step,mean_r2,mean_r,std_r2,std_r,n_alive,trapped_rate,mean_rg2,std_rg2,mean_r2_all,mean_rg2_all,min_r2,max_r2,se_r2,cv_r2
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,1.0000000000,1.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.2500000000,0.0000000000,1.0000000000,0.2500000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
2,2.6654000000,1.6091047102,0.9423602496,0.2760109268,10000,0.0000000000,0.5183777778,0.1047066944,2.6654000000,0.5183777778,2.0000000000,4.0000000000,0.0094236025,0.3535530313
3,4.6032000000,2.0577379914,2.2816112202,0.6073832057,10000,0.0000000000,0.8102500000,0.2153803322,4.6032000000,0.8102500000,1.0000000000,9.0000000000,0.0228161122,0.4956576339
4,6.8338000000,2.5132499671,3.5924890480,0.7192875660,10000,0.0000000000,1.1373360000,0.3153130874,6.8338000000,1.1373360000,2.0000000000,16.0000000000,0.0359248905,0.5256942035
5,9.0492000000,2.8596691093,5.2060713941,0.9335376720,10000,0.0000000000,1.4733444444,0.4352294413,9.0492000000,1.4733444444,1.0000000000,25.0000000000,0.0520607139,0.5753073635
6,11.4792000000,3.2147278369,6.9044889282,1.0699181906,10000,0.0000000000,1.8339428571,0.5647907788,11.4792000000,1.8339428571,2.0000000000,36.0000000000,0.0690448893,0.6014782326
7,13.8732000000,3.5088415986,8.7334255456,1.2494921511,10000,0.0000000000,2.2041656250,0.7057786668,13.8732000000,2.2041656250,1.0000000000,49.0000000000,0.0873342555,0.6295177425
8,16.4621705582,3.8200111867,10.6333951319,1.3673642864,9979,0.0021000000,2.5938817195,0.8519487056,16.4297000000,2.5909939429,2.0000000000,64.0000000000,0.1064457781,0.6459291072
9,19.0731658291,4.0909481878,12.6920175732,1.5288259398,9950,0.0050000000,2.9955718593,1.0098252944,18.9887000000,2.9873163380,1.0000000000,81.0000000000,0.1272386710,0.6654384326
10,21.9595632835,4.3878554398,14.8232879306,1.6450799137,9892,0.0108000000,3.4197414724,1.1766980330,21.7495000000,3.3995046024,2.0000000000,82.0000000000,0.1490398795,0.6750265358
11,24.7295706020,4.6398867900,16.9952837185,1.7891397873,9851,0.0149000000,3.8477438839,1.3556721728,24.4132000000,3.8154096644,1.0000000000,101.0000000000,0.1712333130,0.6872454032
12,27.7460382374,4.9165930553,19.2202383043,1.8902780130,9781,0.0219000000,4.2960564166,1.5398966888,27.2283000000,4.2427643899,2.0000000000,122.0000000000,0.1943422107,0.6927200972
13,30.5294117647,5.1460295285,21.3915106650,2.0119124874,9724,0.0276000000,4.7449588227,1.7242409177,29.8209000000,4.6692274379,1.0000000000,125.0000000000,0.2169296824,0.7006853204
14,33.6248187280,5.4024545306,23.7090931792,2.1067282153,9654,0.0346000000,5.2073540041,1.9158478429,32.6469000000,5.1026610750,2.0000000000,144.0000000000,0.2413022082,0.7051069441
15,36.6254822229,5.6307503712,25.8836749021,2.2181371645,9591,0.0409000000,5.6739325931,2.1070246953,35.3766000000,5.5376702695,1.0000000000,153.0000000000,0.2642980695,0.7067121941
16,39.7184404636,5.8662199650,28.1772795066,2.3034547501,9490,0.0510000000,6.1545454877,2.2994788427,38.0588000000,5.9735464373,2.0000000000,170.0000000000,0.2892450623,0.7094256264
17,42.8176013621,6.0808621927,30.5794547178,2.4167574051,9397,0.0603000000,6.6390025317,2.4947871816,40.7439000000,6.4089181544,1.0000000000,197.0000000000,0.3154533353,0.7141795370
18,46.1269909600,6.3113832662,33.1139291243,2.5086714069,9292,0.0708000000,7.1364233135,2.6976873531,43.5247000000,6.8477654134,2.0000000000,200.0000000000,0.3435232330,0.7178861754
19,49.4548117609,6.5272886607,35.7020165235,2.6171195046,9217,0.0783000000,7.6363502224,2.9097696655,46.3884000000,7.2914043718,1.0000000000,229.0000000000,0.3718758304,0.7219118879
20,52.8174925832,6.7495294181,38.2605497705,2.6946883340,9101,0.0899000000,8.1533189769,3.1255023627,49.1083000000,7.7348344727,2.0000000000,260.0000000000,0.4010575062,0.7243916343
21,56.1349188709,6.9532553631,40.8749199478,2.7905481049,8998,0.1002000000,8.6754315468,3.3489069199,51.7663000000,8.1770898193,1.0000000000,257.0000000000,0.4309073686,0.7281549661
22,59.4081403193,7.1551071210,43.4721445292,2.8657603540,8894,0.1106000000,9.2014849968,3.5767285522,54.3093000000,8.6157769391,2.0000000000,290.0000000000,0.4609592161,0.7317540037
23,62.8306625753,7.3530746707,46.1979017791,2.9602289543,8799,0.1201000000,9.7285131833,3.8100010163,57.0090000000,9.0533943659,1.0000000000,289.0000000000,0.4924992714,0.7352763744
24,66.3303068613,7.5541973095,48.9479418480,3.0437493113,8701,0.1299000000,10.2648118607,4.0504430536,59.7009000000,9.4904453603,2.0000000000,324.0000000000,0.5247468631,0.7379423398
