trial,step,x,y,z
0,0,1024,1024,0
0,1,1023,1024,0
0,2,1023,1023,0
0,3,1024,1023,0
0,4,1025,1023,0
0,5,1025,1024,0
0,6,1026,1024,0
0,7,1026,1025,0
0,8,1026,1026,0
0,9,1027,1026,0
0,10,1027,1027,0
0,11,1026,1027,0
0,12,1025,1027,0
0,13,1025,1028,0
0,14,1026,1028,0
0,15,1026,1029,0
0,16,1027,1029,0
0,17,1027,1028,0
0,18,1028,1028,0
0,19,1029,1028,0
0,20,1030,1028,0
0,21,1031,1028,0
0,22,1032,1028,0
0,23,1033,1028,0
0,24,1033,1029,0
0,25,1033,1030,0
0,26,1033,1031,0
0,27,1034,1031,0
0,28,1034,1030,0
0,29,1034,1029,0
0,30,1035,1029,0
0,31,1036,1029,0
0,32,1037,1029,0
0,33,1037,1030,0
0,34,1036,1030,0
0,35,1036,1031,0
0,36,1037,1031,0
0,37,1038,1031,0
0,38,1038,1032,0
0,39,1038,1033,0
0,40,1039,1033,0
0,41,1039,1032,0
0,42,1040,1032,0
0,43,1040,1033,0
0,44,1041,1033,0
0,45,1041,1034,0
0,46,1042,1034,0
0,47,1042,1033,0
0,48,1042,1032,0
0,49,1041,1032,0
0,50,1041,1031,0
0,51,1040,1031,0
0,52,1040,1030,0
0,53,1041,1030,0
0,54,1041,1029,0
0,55,1040,1029,0
0,56,1040,1028,0
0,57,1039,1028,0
0,58,1039,1027,0
0,59,1040,1027,0
0,60,1041,1027,0
0,61,1041,1028,0
0,62,1042,1028,0
0,63,1042,1027,0
0,64,1043,1027,0
0,65,1044,1027,0
0,66,1044,1026,0
0,67,1043,1026,0
0,68,1043,1025,0
0,69,1044,1025,0
0,70,1044,1024,0
0,71,1045,1024,0
0,72,1045,1025,0
0,73,1045,1026,0
0,74,1046,1026,0
0,75,1046,1025,0
0,76,1046,1024,0
0,77,1047,1024,0
0,78,1047,1023,0
0,79,1047,1022,0
0,80,1047,1021,0
0,81,1048,1021,0
0,82,1048,1022,0
0,83,1049,1022,0
0,84,1049,1023,0
0,85,1050,1023,0
0,86,1051,1023,0
0,87,1052,1023,0
0,88,1052,1024,0
0,89,1053,1024,0
0,90,1053,1025,0
0,91,1052,1025,0
0,92,1052,1026,0
0,93,1053,1026,0
0,94,1053,1027,0
0,95,1053,1028,0
0,96,1054,1028,0
0,97,1055,1028,0
0,98,1055,1029,0
0,99,1054,1029,0
0,100,1053,1029,0
0,101,1052,1029,0
0,102,1052,1030,0
0,103,1052,1031,0
0,104,1051,1031,0
0,105,1051,1030,0
0,106,1050,1030,0
0,107,1049,1030,0
0,108,1049,1029,0
0,109,1049,1028,0
0,110,1048,1028,0
0,111,1048,1027,0
0,112,1048,1026,0
0,113,1049,1026,0
0,114,1049,1027,0
0,115,1050,1027,0
0,116,1051,1027,0
0,117,1051,1026,0
0,118,1050,1026,0
0,119,1050,1025,0
0,120,1050,1024,0
0,121,1051,1024,0
0,122,1051,1025,0
