trial,final_step,trapped,contact_dead,boundary_dead
0,34,1,0,0
1,95,1,0,0
2,111,1,0,0
3,51,1,0,0
4,39,1,0,0
5,63,1,0,0
6,94,1,0,0
7,113,1,0,0
8,72,1,0,0
9,47,1,0,0
10,40,1,0,0
11,44,1,0,0
12,21,1,0,0
13,122,1,0,0
14,17,1,0,0
15,67,1,0,0
16,23,1,0,0
17,222,1,0,0
18,28,1,0,0
19,52,1,0,0
20,48,1,0,0
21,35,1,0,0
22,21,1,0,0
23,154,1,0,0
24,33,1,0,0
25,141,1,0,0
26,34,1,0,0
27,121,1,0,0
28,23,1,0,0
29,23,1,0,0
30,40,1,0,0
31,33,1,0,0
32,25,1,0,0
33,136,1,0,0
34,57,1,0,0
35,47,1,0,0
36,63,1,0,0
37,20,1,0,0
38,82,1,0,0
39,39,1,0,0
40,147,1,0,0
41,36,1,0,0
42,42,1,0,0
43,18,1,0,0
44,30,1,0,0
45,49,1,0,0
46,46,1,0,0
47,28,1,0,0
48,179,1,0,0
49,18,1,0,0
50,18,1,0,0
51,36,1,0,0
52,99,1,0,0
53,76,1,0,0
54,22,1,0,0
55,24,1,0,0
56,72,1,0,0
57,33,1,0,0
58,65,1,0,0
59,30,1,0,0
60,82,1,0,0
61,73,1,0,0
62,93,1,0,0
63,190,1,0,0
64,93,1,0,0
65,218,1,0,0
66,111,1,0,0
67,38,1,0,0
68,80,1,0,0
69,132,1,0,0
70,65,1,0,0
71,12,1,0,0
72,102,1,0,0
73,17,1,0,0
74,143,1,0,0
75,50,1,0,0
76,41,1,0,0
77,59,1,0,0
78,132,1,0,0
79,34,1,0,0
80,44,1,0,0
81,84,1,0,0
82,20,1,0,0
83,53,1,0,0
84,22,1,0,0
85,17,1,0,0
86,101,1,0,0
87,151,1,0,0
88,7,1,0,0
89,32,1,0,0
90,83,1,0,0
91,32,1,0,0
92,101,1,0,0
93,16,1,0,0
94,150,1,0,0
95,68,1,0,0
96,36,1,0,0
97,61,1,0,0
98,146,1,0,0
99,54,1,0,0
100,82,1,0,0
101,87,1,0,0
102,100,1,0,0
103,44,1,0,0
104,63,1,0,0
105,81,1,0,0
106,123,1,0,0
107,88,1,0,0
108,37,1,0,0
109,118,1,0,0
110,133,1,0,0
111,53,1,0,0
112,21,1,0,0
113,27,1,0,0
114,39,1,0,0
115,40,1,0,0
116,80,1,0,0
117,112,1,0,0
118,63,1,0,0
119,35,1,0,0
120,44,1,0,0
121,49,1,0,0
122,64,1,0,0
123,21,1,0,0
124,98,1,0,0
125,17,1,0,0
126,93,1,0,0
127,49,1,0,0
128,102,1,0,0
129,46,1,0,0
130,167,1,0,0
131,76,1,0,0
132,89,1,0,0
133,81,1,0,0
134,41,1,0,0
135,71,1,0,0
136,30,1,0,0
137,195,1,0,0
138,42,1,0,0
139,67,1,0,0
140,145,1,0,0
141,134,1,0,0
142,40,1,0,0
143,50,1,0,0
144,29,1,0,0
145,69,1,0,0
146,15,1,0,0
147,78,1,0,0
148,78,1,0,0
149,11,1,0,0
150,18,1,0,0
151,73,1,0,0
152,64,1,0,0
153,97,1,0,0
154,61,1,0,0
155,51,1,0,0
156,128,1,0,0
157,111,1,0,0
158,134,1,0,0
159,17,1,0,0
160,72,1,0,0
161,108,1,0,0
162,51,1,0,0
163,32,1,0,0
164,31,1,0,0
165,17,1,0,0
166,39,1,0,0
167,32,1,0,0
168,57,1,0,0
169,28,1,0,0
170,26,1,0,0
171,92,1,0,0
172,45,1,0,0
173,202,1,0,0
174,47,1,0,0
175,27,1,0,0
176,63,1,0,0
177,21,1,0,0
178,28,1,0,0
179,148,1,0,0
180,221,1,0,0
181,82,1,0,0
182,37,1,0,0
183,40,1,0,0
184,82,1,0,0
185,101,1,0,0
186,17,1,0,0
187,183,1,0,0
188,10,1,0,0
189,14,1,0,0
190,49,1,0,0
191,22,1,0,0
192,72,1,0,0
193,8,1,0,0
194,32,1,0,0
195,40,1,0,0
196,71,1,0,0
197,67,1,0,0
198,86,1,0,0
199,54,1,0,0
200,84,1,0,0
201,28,1,0,0
202,47,1,0,0
203,78,1,0,0
204,42,1,0,0
205,47,1,0,0
206,19,1,0,0
207,131,1,0,0
208,83,1,0,0
209,112,1,0,0
210,37,1,0,0
211,29,1,0,0
212,25,1,0,0
213,131,1,0,0
214,59,1,0,0
215,35,1,0,0
216,123,1,0,0
217,17,1,0,0
218,127,1,0,0
219,100,1,0,0
220,46,1,0,0
221,50,1,0,0
222,73,1,0,0
223,104,1,0,0
224,57,1,0,0
225,62,1,0,0
226,38,1,0,0
227,47,1,0,0
228,11,1,0,0
229,22,1,0,0
230,110,1,0,0
231,49,1,0,0
232,70,1,0,0
233,12,1,0,0
234,26,1,0,0
235,71,1,0,0
236,32,1,0,0
237,63,1,0,0
238,29,1,0,0
239,136,1,0,0
240,46,1,0,0
241,23,1,0,0
242,87,1,0,0
243,20,1,0,0
244,32,1,0,0
245,92,1,0,0
246,105,1,0,0
247,170,1,0,0
248,56,1,0,0
249,86,1,0,0
250,110,1,0,0
251,26,1,0,0
252,71,1,0,0
253,77,1,0,0
254,189,1,0,0
255,113,1,0,0
256,44,1,0,0
257,42,1,0,0
258,67,1,0,0
259,75,1,0,0
260,121,1,0,0
261,173,1,0,0
262,15,1,0,0
263,21,1,0,0
264,145,1,0,0
265,43,1,0,0
266,22,1,0,0
267,109,1,0,0
268,13,1,0,0
269,38,1,0,0
270,77,1,0,0
271,18,1,0,0
272,93,1,0,0
273,28,1,0,0
274,8,1,0,0
275,83,1,0,0
276,17,1,0,0
277,24,1,0,0
278,157,1,0,0
279,45,1,0,0
280,68,1,0,0
281,93,1,0,0
282,60,1,0,0
283,217,1,0,0
284,19,1,0,0
285,70,1,0,0
286,23,1,0,0
287,206,1,0,0
288,51,1,0,0
289,37,1,0,0
290,23,1,0,0
291,46,1,0,0
292,91,1,0,0
293,67,1,0,0
294,31,1,0,0
295,72,1,0,0
296,99,1,0,0
297,102,1,0,0
298,45,1,0,0
299,45,1,0,0
300,140,1,0,0
301,38,1,0,0
302,137,1,0,0
303,9,1,0,0
304,24,1,0,0
305,24,1,0,0
306,45,1,0,0
307,84,1,0,0
308,79,1,0,0
309,20,1,0,0
310,125,1,0,0
311,61,1,0,0
312,109,1,0,0
313,116,1,0,0
314,114,1,0,0
315,56,1,0,0
316,42,1,0,0
317,149,1,0,0
318,30,1,0,0
