trial,final_step,trapped,boundary_dead,contact_dead
0,101,1,0,0
1,48,1,0,0
2,51,1,0,0
3,19,1,0,0
4,92,1,0,0
5,34,1,0,0
6,23,1,0,0
7,117,1,0,0
8,100,1,0,0
9,88,1,0,0
10,27,1,0,0
11,29,1,0,0
12,294,1,0,0
13,95,1,0,0
14,44,1,0,0
15,107,1,0,0
16,65,1,0,0
17,43,1,0,0
18,68,1,0,0
19,237,1,0,0
20,52,1,0,0
21,102,1,0,0
22,30,1,0,0
23,39,1,0,0
24,8,1,0,0
25,32,1,0,0
26,63,1,0,0
27,46,1,0,0
28,50,1,0,0
29,12,1,0,0
30,144,1,0,0
31,143,1,0,0
32,49,1,0,0
33,76,1,0,0
34,60,1,0,0
35,73,1,0,0
36,43,1,0,0
37,171,1,0,0
38,35,1,0,0
39,77,1,0,0
40,11,1,0,0
41,46,1,0,0
42,45,1,0,0
43,61,1,0,0
44,83,1,0,0
45,27,1,0,0
46,24,1,0,0
47,72,1,0,0
48,39,1,0,0
49,54,1,0,0
50,30,1,0,0
51,25,1,0,0
52,28,1,0,0
53,45,1,0,0
54,63,1,0,0
55,56,1,0,0
56,12,1,0,0
57,156,1,0,0
58,48,1,0,0
59,124,1,0,0
60,83,1,0,0
61,27,1,0,0
62,50,1,0,0
63,85,1,0,0
64,98,1,0,0
65,124,1,0,0
66,132,1,0,0
67,32,1,0,0
68,11,1,0,0
69,18,1,0,0
70,15,1,0,0
71,8,1,0,0
72,122,1,0,0
73,70,1,0,0
74,12,1,0,0
75,252,1,0,0
76,120,1,0,0
77,82,1,0,0
78,35,1,0,0
79,18,1,0,0
80,15,1,0,0
81,101,1,0,0
82,88,1,0,0
83,34,1,0,0
84,164,1,0,0
85,35,1,0,0
86,24,1,0,0
87,48,1,0,0
88,56,1,0,0
89,121,1,0,0
90,64,1,0,0
91,147,1,0,0
92,73,1,0,0
93,23,1,0,0
94,35,1,0,0
95,41,1,0,0
96,59,1,0,0
97,67,1,0,0
98,57,1,0,0
99,45,1,0,0
100,44,1,0,0
101,213,1,0,0
102,107,1,0,0
103,33,1,0,0
104,40,1,0,0
105,52,1,0,0
106,72,1,0,0
107,94,1,0,0
108,62,1,0,0
109,21,1,0,0
110,153,1,0,0
111,19,1,0,0
112,130,1,0,0
113,62,1,0,0
114,92,1,0,0
115,137,1,0,0
116,50,1,0,0
117,110,1,0,0
118,71,1,0,0
119,146,1,0,0
120,76,1,0,0
121,23,1,0,0
122,86,1,0,0
123,26,1,0,0
124,48,1,0,0
125,160,1,0,0
126,41,1,0,0
127,36,1,0,0
128,16,1,0,0
129,62,1,0,0
130,54,1,0,0
131,18,1,0,0
132,72,1,0,0
133,45,1,0,0
134,64,1,0,0
135,41,1,0,0
136,150,1,0,0
137,12,1,0,0
138,160,1,0,0
139,22,1,0,0
140,60,1,0,0
141,18,1,0,0
142,49,1,0,0
143,13,1,0,0
144,116,1,0,0
145,53,1,0,0
146,33,1,0,0
147,70,1,0,0
148,85,1,0,0
149,101,1,0,0
150,38,1,0,0
151,70,1,0,0
152,19,1,0,0
153,96,1,0,0
154,39,1,0,0
155,114,1,0,0
156,74,1,0,0
157,161,1,0,0
158,104,1,0,0
159,81,1,0,0
160,30,1,0,0
161,155,1,0,0
162,20,1,0,0
163,17,1,0,0
164,102,1,0,0
165,119,1,0,0
166,60,1,0,0
167,82,1,0,0
168,52,1,0,0
169,68,1,0,0
170,12,1,0,0
171,11,1,0,0
172,29,1,0,0
173,76,1,0,0
174,96,1,0,0
175,101,1,0,0
176,105,1,0,0
177,50,1,0,0
178,20,1,0,0
179,53,1,0,0
180,114,1,0,0
181,84,1,0,0
182,26,1,0,0
183,36,1,0,0
184,25,1,0,0
185,78,1,0,0
186,48,1,0,0
187,26,1,0,0
188,34,1,0,0
189,16,1,0,0
190,46,1,0,0
191,53,1,0,0
192,76,1,0,0
193,48,1,0,0
194,55,1,0,0
195,33,1,0,0
196,61,1,0,0
197,71,1,0,0
198,165,1,0,0
199,33,1,0,0
200,41,1,0,0
201,36,1,0,0
202,54,1,0,0
203,18,1,0,0
204,216,1,0,0
205,172,1,0,0
206,84,1,0,0
207,66,1,0,0
208,16,1,0,0
209,143,1,0,0
210,55,1,0,0
211,101,1,0,0
212,147,1,0,0
213,34,1,0,0
214,26,1,0,0
215,42,1,0,0
216,43,1,0,0
217,23,1,0,0
218,43,1,0,0
219,64,1,0,0
220,30,1,0,0
221,76,1,0,0
222,30,1,0,0
223,26,1,0,0
224,64,1,0,0
225,83,1,0,0
226,44,1,0,0
227,36,1,0,0
228,39,1,0,0
229,8,1,0,0
230,141,1,0,0
231,21,1,0,0
232,65,1,0,0
233,22,1,0,0
234,133,1,0,0
235,110,1,0,0
236,59,1,0,0
237,49,1,0,0
238,16,1,0,0
239,18,1,0,0
240,22,1,0,0
241,110,1,0,0
242,51,1,0,0
243,165,1,0,0
244,139,1,0,0
245,102,1,0,0
246,90,1,0,0
247,74,1,0,0
248,33,1,0,0
249,54,1,0,0
250,42,1,0,0
251,173,1,0,0
252,33,1,0,0
253,88,1,0,0
254,36,1,0,0
255,26,1,0,0
256,121,1,0,0
257,198,1,0,0
258,40,1,0,0
259,16,1,0,0
260,23,1,0,0
261,104,1,0,0
262,89,1,0,0
263,33,1,0,0
264,25,1,0,0
265,108,1,0,0
266,65,1,0,0
267,76,1,0,0
268,43,1,0,0
269,48,1,0,0
270,39,1,0,0
271,89,1,0,0
272,112,1,0,0
273,40,1,0,0
274,42,1,0,0
275,118,1,0,0
276,45,1,0,0
277,119,1,0,0
278,61,1,0,0
279,120,1,0,0
280,106,1,0,0
281,52,1,0,0
282,23,1,0,0
283,112,1,0,0
284,66,1,0,0
285,100,1,0,0
286,118,1,0,0
287,118,1,0,0
288,58,1,0,0
289,16,1,0,0
290,27,1,0,0
291,37,1,0,0
292,59,1,0,0
293,61,1,0,0
294,43,1,0,0
295,16,1,0,0
296,72,1,0,0
297,63,1,0,0
298,62,1,0,0
299,52,1,0,0
300,61,1,0,0
301,52,1,0,0
302,55,1,0,0
303,131,1,0,0
304,167,1,0,0
305,145,1,0,0
306,40,1,0,0
307,184,1,0,0
308,32,1,0,0
309,158,1,0,0
310,132,1,0,0
311,21,1,0,0
312,124,1,0,0
313,92,1,0,0
314,84,1,0,0
315,74,1,0,0
316,71,1,0,0
317,48,1,0,0
318,80,1,0,0
319,89,1,0,0
320,53,1,0,0
321,40,1,0,0
322,18,1,0,0
323,34,1,0,0
324,30,1,0,0
325,73,1,0,0
326,80,1,0,0
327,14,1,0,0
328,40,1,0,0
329,25,1,0,0
330,58,1,0,0
331,59,1,0,0
332,81,1,0,0
333,146,1,0,0
334,58,1,0,0
335,67,1,0,0
336,16,1,0,0
337,29,1,0,0
338,39,1,0,0
339,36,1,0,0
340,23,1,0,0
341,152,1,0,0
342,11,1,0,0
343,29,1,0,0
344,79,1,0,0
345,38,1,0,0
346,35,1,0,0
347,129,1,0,0
