step,n_alive,survival_probability,mean_r2,median_r2,std_r2,variance_r2,standard_error_r2,relative_standard_error_r2,q10_r2,q25_r2,q75_r2,q90_r2,q95_r2,q99_r2,max_r2,coefficient_of_variation,mean_median_ratio,fit_eligible
5,100,1.0,8.84,9.0,4.888080741286229,23.893333333333334,0.4888080741286229,0.05529503101002522,4.600000000000001,5.0,13.0,13.0,17.0,17.08000000000004,25.0,0.5529503101002522,0.9822222222222222,1
10,100,1.0,21.42,18.0,16.020933275883245,256.670303030303,1.6020933275883245,0.0747942729966538,4.0,8.0,32.5,40.0,50.099999999999994,68.14000000000007,82.0,0.747942729966538,1.1900000000000002,1
20,89,0.89,48.0,34.0,39.79835537945118,1583.909090909091,4.218617232995797,0.08788785902074576,10.0,20.0,68.0,103.20000000000005,130.0,166.24000000000024,212.0,0.8291324037385662,1.411764705882353,1
30,78,0.78,81.87179487179488,70.0,69.6703478960553,4853.957375957377,7.888613488356767,0.09635324962289818,10.0,34.0,113.5,180.0,208.59999999999997,317.22,328.0,0.8509688593630306,1.1695970695970697,1
40,68,0.68,112.47058823529412,82.0,84.17048629910558,7084.670763827919,10.207170752082837,0.09075413325596664,26.0,50.0,161.0,215.2000000000001,275.99999999999994,357.03999999999985,416.0,0.7483777547514617,1.3715925394548063,1
50,61,0.61,144.0655737704918,98.0,125.1058044020419,15651.462295081967,16.01815685713261,0.11118656899011028,20.0,52.0,200.0,314.0,360.0,499.59999999999985,562.0,0.8683948644201817,1.4700568752091,1
