trial,final_step,trapped,boundary_dead,contact_dead
0,197,1,0,0
1,72,1,0,0
2,97,1,0,0
3,59,1,0,0
4,78,1,0,0
5,64,1,0,0
6,38,1,0,0
7,19,1,0,0
8,132,1,0,0
9,31,1,0,0
10,37,1,0,0
11,109,1,0,0
12,41,1,0,0
13,74,1,0,0
14,13,1,0,0
15,161,1,0,0
16,23,1,0,0
17,28,1,0,0
18,64,1,0,0
19,70,1,0,0
20,27,1,0,0
21,39,1,0,0
22,88,1,0,0
23,11,1,0,0
24,73,1,0,0
25,74,1,0,0
26,20,1,0,0
27,95,1,0,0
28,51,1,0,0
29,105,1,0,0
30,50,1,0,0
31,27,1,0,0
32,43,1,0,0
33,97,1,0,0
34,141,1,0,0
35,32,1,0,0
36,34,1,0,0
37,50,1,0,0
38,12,1,0,0
39,52,1,0,0
40,285,1,0,0
41,30,1,0,0
42,30,1,0,0
43,23,1,0,0
44,77,1,0,0
45,16,1,0,0
46,23,1,0,0
47,112,1,0,0
48,26,1,0,0
49,78,1,0,0
50,54,1,0,0
51,130,1,0,0
52,37,1,0,0
53,68,1,0,0
54,99,1,0,0
55,19,1,0,0
56,23,1,0,0
57,32,1,0,0
58,37,1,0,0
59,82,1,0,0
60,30,1,0,0
61,27,1,0,0
62,88,1,0,0
63,71,1,0,0
64,79,1,0,0
65,33,1,0,0
66,71,1,0,0
67,184,1,0,0
68,116,1,0,0
69,25,1,0,0
70,63,1,0,0
71,56,1,0,0
72,29,1,0,0
73,54,1,0,0
74,42,1,0,0
75,109,1,0,0
76,42,1,0,0
77,33,1,0,0
78,35,1,0,0
79,23,1,0,0
80,16,1,0,0
81,30,1,0,0
82,77,1,0,0
83,66,1,0,0
84,132,1,0,0
85,68,1,0,0
86,49,1,0,0
87,70,1,0,0
88,70,1,0,0
89,65,1,0,0
90,34,1,0,0
91,25,1,0,0
92,52,1,0,0
93,119,1,0,0
94,15,1,0,0
95,134,1,0,0
96,27,1,0,0
97,47,1,0,0
98,104,1,0,0
99,16,1,0,0
100,89,1,0,0
101,15,1,0,0
102,124,1,0,0
103,31,1,0,0
104,121,1,0,0
105,38,1,0,0
106,144,1,0,0
107,51,1,0,0
108,156,1,0,0
109,30,1,0,0
110,65,1,0,0
111,217,1,0,0
112,121,1,0,0
113,17,1,0,0
114,20,1,0,0
115,72,1,0,0
116,28,1,0,0
117,160,1,0,0
118,89,1,0,0
119,43,1,0,0
120,143,1,0,0
121,97,1,0,0
122,24,1,0,0
123,60,1,0,0
124,107,1,0,0
125,96,1,0,0
126,78,1,0,0
127,22,1,0,0
128,88,1,0,0
129,21,1,0,0
130,40,1,0,0
131,138,1,0,0
132,60,1,0,0
133,30,1,0,0
134,33,1,0,0
135,71,1,0,0
136,103,1,0,0
137,37,1,0,0
138,89,1,0,0
139,29,1,0,0
140,23,1,0,0
141,15,1,0,0
142,50,1,0,0
143,72,1,0,0
144,76,1,0,0
145,13,1,0,0
146,7,1,0,0
147,14,1,0,0
148,15,1,0,0
149,252,1,0,0
150,141,1,0,0
151,42,1,0,0
152,29,1,0,0
153,52,1,0,0
154,15,1,0,0
155,15,1,0,0
156,25,1,0,0
157,110,1,0,0
158,31,1,0,0
159,75,1,0,0
160,96,1,0,0
161,23,1,0,0
162,45,1,0,0
163,100,1,0,0
164,48,1,0,0
165,97,1,0,0
166,43,1,0,0
167,43,1,0,0
168,111,1,0,0
169,131,1,0,0
170,47,1,0,0
171,66,1,0,0
172,114,1,0,0
173,27,1,0,0
174,66,1,0,0
175,46,1,0,0
176,81,1,0,0
177,44,1,0,0
178,33,1,0,0
179,84,1,0,0
180,117,1,0,0
181,223,1,0,0
182,52,1,0,0
183,83,1,0,0
184,42,1,0,0
185,25,1,0,0
186,48,1,0,0
187,82,1,0,0
188,98,1,0,0
189,34,1,0,0
190,50,1,0,0
191,54,1,0,0
192,62,1,0,0
193,74,1,0,0
194,39,1,0,0
195,48,1,0,0
196,91,1,0,0
197,34,1,0,0
198,70,1,0,0
199,11,1,0,0
200,36,1,0,0
201,51,1,0,0
202,77,1,0,0
203,111,1,0,0
204,42,1,0,0
205,63,1,0,0
206,126,1,0,0
207,223,1,0,0
208,31,1,0,0
209,48,1,0,0
210,61,1,0,0
211,67,1,0,0
212,108,1,0,0
213,117,1,0,0
214,66,1,0,0
215,68,1,0,0
216,47,1,0,0
217,127,1,0,0
218,85,1,0,0
219,128,1,0,0
220,57,1,0,0
221,7,1,0,0
222,75,1,0,0
223,23,1,0,0
224,55,1,0,0
225,95,1,0,0
226,18,1,0,0
227,29,1,0,0
228,83,1,0,0
229,30,1,0,0
230,24,1,0,0
231,175,1,0,0
232,22,1,0,0
233,18,1,0,0
234,32,1,0,0
235,70,1,0,0
236,60,1,0,0
237,22,1,0,0
238,32,1,0,0
239,61,1,0,0
240,11,1,0,0
241,46,1,0,0
242,77,1,0,0
243,19,1,0,0
244,93,1,0,0
245,118,1,0,0
246,107,1,0,0
247,30,1,0,0
248,112,1,0,0
249,57,1,0,0
250,23,1,0,0
251,136,1,0,0
252,67,1,0,0
253,66,1,0,0
254,26,1,0,0
255,78,1,0,0
256,87,1,0,0
257,96,1,0,0
258,147,1,0,0
259,16,1,0,0
260,14,1,0,0
261,146,1,0,0
262,92,1,0,0
263,34,1,0,0
264,89,1,0,0
265,142,1,0,0
266,100,1,0,0
267,43,1,0,0
268,36,1,0,0
269,59,1,0,0
270,128,1,0,0
271,31,1,0,0
272,23,1,0,0
273,59,1,0,0
274,10,1,0,0
275,9,1,0,0
276,33,1,0,0
277,34,1,0,0
278,281,1,0,0
279,39,1,0,0
280,39,1,0,0
281,97,1,0,0
282,64,1,0,0
283,46,1,0,0
284,73,1,0,0
285,105,1,0,0
286,141,1,0,0
287,73,1,0,0
288,26,1,0,0
289,45,1,0,0
290,126,1,0,0
291,41,1,0,0
292,30,1,0,0
293,35,1,0,0
294,77,1,0,0
295,73,1,0,0
296,42,1,0,0
297,115,1,0,0
298,141,1,0,0
299,327,1,0,0
300,85,1,0,0
301,45,1,0,0
302,49,1,0,0
303,61,1,0,0
304,112,1,0,0
305,25,1,0,0
306,12,1,0,0
307,122,1,0,0
308,70,1,0,0
309,21,1,0,0
310,17,1,0,0
311,54,1,0,0
312,97,1,0,0
313,83,1,0,0
314,56,1,0,0
315,69,1,0,0
316,142,1,0,0
317,45,1,0,0
318,83,1,0,0
319,39,1,0,0
320,79,1,0,0
321,103,1,0,0
322,19,1,0,0
323,67,1,0,0
324,51,1,0,0
325,107,1,0,0
326,107,1,0,0
327,63,1,0,0
328,67,1,0,0
329,55,1,0,0
330,150,1,0,0
331,68,1,0,0
332,120,1,0,0
333,46,1,0,0
334,19,1,0,0
335,15,1,0,0
336,21,1,0,0
337,13,1,0,0
338,183,1,0,0
339,50,1,0,0
340,130,1,0,0
341,58,1,0,0
342,43,1,0,0
343,41,1,0,0
344,137,1,0,0
345,155,1,0,0
346,71,1,0,0
347,65,1,0,0
348,75,1,0,0
349,66,1,0,0
350,34,1,0,0
351,111,1,0,0
352,115,1,0,0
353,82,1,0,0
354,74,1,0,0
355,107,1,0,0
356,13,1,0,0
357,15,1,0,0
358,20,1,0,0
359,25,1,0,0
360,196,1,0,0
361,126,1,0,0
362,69,1,0,0
363,26,1,0,0
364,39,1,0,0
365,24,1,0,0
366,85,1,0,0
367,176,1,0,0
368,117,1,0,0
369,64,1,0,0
370,125,1,0,0
371,90,1,0,0
372,20,1,0,0
373,150,1,0,0
374,49,1,0,0
375,117,1,0,0
376,16,1,0,0
377,148,1,0,0
378,34,1,0,0
379,68,1,0,0
380,112,1,0,0
381,51,1,0,0
382,22,1,0,0
383,50,1,0,0
384,14,1,0,0
385,20,1,0,0
386,31,1,0,0
387,48,1,0,0
388,156,1,0,0
389,27,1,0,0
390,102,1,0,0
391,26,1,0,0
392,20,1,0,0
393,49,1,0,0
394,20,1,0,0
395,67,1,0,0
396,20,1,0,0
397,46,1,0,0
398,29,1,0,0
399,49,1,0,0
400,42,1,0,0
401,87,1,0,0
402,83,1,0,0
403,280,1,0,0
404,29,1,0,0
405,37,1,0,0
406,44,1,0,0
407,26,1,0,0
408,48,1,0,0
409,74,1,0,0
410,86,1,0,0
