step,mean_r2,mean_r,std_r2,std_r,n_alive,trapped_rate,mean_rg2,std_rg2,mean_r2_all,mean_rg2_all,min_r2,max_r2,se_r2,cv_r2
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,1.0000000000,1.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.2500000000,0.0000000000,1.0000000000,0.2500000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
2,2.6632000000,1.6084603451,0.9415762104,0.2757812870,10000,0.0000000000,0.5181333333,0.1046195789,2.6632000000,0.5181333333,2.0000000000,4.0000000000,0.0094157621,0.3535506948
3,4.5556000000,2.0459088118,2.2717633327,0.6081588063,10000,0.0000000000,0.8056000000,0.2138834729,4.5556000000,0.8056000000,1.0000000000,9.0000000000,0.0227176333,0.4986748908
4,6.7322000000,2.4919391380,3.5848965341,0.7227996491,10000,0.0000000000,1.1280160000,0.3120467653,6.7322000000,1.1280160000,2.0000000000,16.0000000000,0.0358489653,0.5325000051
5,8.9648000000,2.8462306375,5.1739695554,0.9293928976,10000,0.0000000000,1.4641777778,0.4319916300,8.9648000000,1.4641777778,1.0000000000,25.0000000000,0.0517396956,0.5771427757
6,11.3794000000,3.2040785236,6.8054724774,1.0551212322,10000,0.0000000000,1.8231918367,0.5570121829,11.3794000000,1.8231918367,2.0000000000,36.0000000000,0.0680547248,0.5980519603
7,13.8552000000,3.5067375895,8.7171459182,1.2481952886,10000,0.0000000000,2.1949000000,0.7020934974,13.8552000000,2.1949000000,1.0000000000,49.0000000000,0.0871714592,0.6291605981
8,16.5306736167,3.8304307101,10.5633737538,1.3632586664,9976,0.0024000000,2.5887661251,0.8489500811,16.4934000000,2.5854780864,2.0000000000,64.0000000000,0.1057607266,0.6390165337
9,19.1756430868,4.1016445092,12.6511956270,1.5336738267,9952,0.0048000000,2.9930707395,1.0106086279,19.0928000000,2.9850265309,1.0000000000,81.0000000000,0.1268166824,0.6597533950
10,21.8929076581,4.3826817091,14.7449471196,1.6385996139,9898,0.0102000000,3.4128624365,1.1794616725,21.6950000000,3.3936197705,2.0000000000,82.0000000000,0.1482072656,0.6735033715
11,24.5876330461,4.6279731905,16.8994116964,1.7803081739,9865,0.0135000000,3.8353438081,1.3579835219,24.2971000000,3.8056294124,1.0000000000,101.0000000000,0.1701465084,0.6873134825
12,27.4049418011,4.8883684664,18.9971462685,1.8731779249,9794,0.0206000000,4.2713423144,1.5386486537,26.9241000000,4.2220237418,2.0000000000,104.0000000000,0.1919589284,0.6932014819
13,30.2560624743,5.1229753645,21.2717862796,2.0027945199,9732,0.0268000000,4.7128010267,1.7241155712,29.5817000000,4.6416932986,1.0000000000,125.0000000000,0.2156268859,0.7030586448
14,33.1905896984,5.3676129325,23.4164612314,2.0926827532,9649,0.0351000000,5.1671095450,1.9101977557,32.2436000000,5.0656531149,2.0000000000,148.0000000000,0.2383856510,0.7055150705
15,36.1651701817,5.5906421097,25.8166040639,2.2158273811,9578,0.0422000000,5.6268091590,2.1060807382,34.9424000000,5.4925291497,1.0000000000,173.0000000000,0.2637920470,0.7138526913
16,39.2305423907,5.8204964147,28.2135509902,2.3135176413,9495,0.0505000000,6.0973843454,2.3075754331,37.6499000000,5.9227799606,2.0000000000,178.0000000000,0.2895411306,0.7191731052
17,42.3113358169,6.0350306487,30.6523092099,2.4268788363,9395,0.0605000000,6.5762557573,2.5125106572,40.3008000000,6.3531514834,1.0000000000,205.0000000000,0.3162385468,0.7244467379
18,45.5844994618,6.2647115591,33.2182335575,2.5175163442,9290,0.0710000000,7.0669495392,2.7209897837,43.0434000000,6.7853951361,2.0000000000,234.0000000000,0.3446423773,0.7287177429
19,48.7221739130,6.4702557637,35.8010108500,2.6187715184,9200,0.0800000000,7.5577663043,2.9331024734,45.6804000000,7.2155024630,1.0000000000,241.0000000000,0.3732513400,0.7347991269
20,52.0610787652,6.6893548882,38.3997115755,2.7043686777,9103,0.0897000000,8.0604176491,3.1488632859,48.4101000000,7.6481026489,2.0000000000,272.0000000000,0.4024720177,0.7375896252
21,55.5005546927,6.8996488053,41.1643352407,2.8098756301,9014,0.0986000000,8.5692847857,3.3730741117,51.2513000000,8.0843371338,1.0000000000,265.0000000000,0.4335730999,0.7416923213
22,59.1724525334,7.1250074216,44.0357887325,2.8994347337,8901,0.1099000000,9.0961649346,3.6023253852,54.1454000000,8.5235928397,2.0000000000,298.0000000000,0.4667522057,0.7441940776
23,62.7092190519,7.3315919431,46.7789980633,2.9928211827,8797,0.1203000000,9.6272194277,3.8379638803,56.9363000000,8.9628641974,1.0000000000,305.0000000000,0.4987508165,0.7459668414
24,66.2223502304,7.5348815017,49.4868586383,3.0737454329,8680,0.1320000000,10.1691266359,4.0722442615,59.5249000000,9.3988355619,2.0000000000,340.0000000000,0.5311657011,0.7472833336
