trial,step,x,y,z
0,0,2048,2048,0
0,1,2048,2047,0
0,2,2049,2047,0
0,3,2049,2046,0
0,4,2048,2046,0
0,5,2047,2046,0
0,6,2046,2046,0
0,7,2046,2045,0
0,8,2047,2045,0
0,9,2048,2045,0
0,10,2048,2044,0
0,11,2047,2044,0
0,12,2047,2043,0
0,13,2047,2042,0
0,14,2047,2041,0
0,15,2046,2041,0
0,16,2046,2042,0
0,17,2045,2042,0
0,18,2044,2042,0
0,19,2044,2043,0
0,20,2043,2043,0
0,21,2043,2044,0
0,22,2043,2045,0
0,23,2042,2045,0
0,24,2042,2044,0
0,25,2041,2044,0
0,26,2040,2044,0
0,27,2040,2045,0
0,28,2041,2045,0
0,29,2041,2046,0
0,30,2042,2046,0
0,31,2043,2046,0
0,32,2043,2047,0
0,33,2042,2047,0
0,34,2042,2048,0
0,35,2042,2049,0
0,36,2043,2049,0
0,37,2043,2048,0
0,38,2044,2048,0
0,39,2045,2048,0
0,40,2045,2049,0
0,41,2044,2049,0
0,42,2044,2050,0
0,43,2043,2050,0
0,44,2042,2050,0
0,45,2042,2051,0
0,46,2043,2051,0
0,47,2043,2052,0
0,48,2042,2052,0
0,49,2041,2052,0
0,50,2041,2053,0
0,51,2042,2053,0
0,52,2043,2053,0
0,53,2044,2053,0
0,54,2044,2052,0
0,55,2045,2052,0
0,56,2045,2053,0
0,57,2045,2054,0
0,58,2044,2054,0
0,59,2044,2055,0
0,60,2043,2055,0
0,61,2043,2054,0
0,62,2042,2054,0
0,63,2041,2054,0
0,64,2040,2054,0
0,65,2040,2053,0
0,66,2040,2052,0
0,67,2039,2052,0
0,68,2039,2051,0
0,69,2040,2051,0
0,70,2040,2050,0
0,71,2039,2050,0
0,72,2038,2050,0
0,73,2038,2051,0
0,74,2038,2052,0
0,75,2038,2053,0
0,76,2039,2053,0
0,77,2039,2054,0
0,78,2038,2054,0
0,79,2037,2054,0
0,80,2037,2053,0
0,81,2037,2052,0
0,82,2036,2052,0
0,83,2035,2052,0
0,84,2034,2052,0
0,85,2033,2052,0
0,86,2033,2053,0
0,87,2033,2054,0
0,88,2034,2054,0
0,89,2035,2054,0
0,90,2035,2055,0
0,91,2035,2056,0
0,92,2036,2056,0
0,93,2036,2055,0
0,94,2037,2055,0
0,95,2037,2056,0
0,96,2037,2057,0
0,97,2038,2057,0
0,98,2039,2057,0
0,99,2040,2057,0
0,100,2040,2058,0
0,101,2041,2058,0
0,102,2041,2057,0
0,103,2041,2056,0
0,104,2041,2055,0
0,105,2042,2055,0
0,106,2042,2056,0
0,107,2042,2057,0
0,108,2042,2058,0
0,109,2042,2059,0
0,110,2043,2059,0
0,111,2044,2059,0
0,112,2044,2058,0
0,113,2045,2058,0
0,114,2046,2058,0
0,115,2047,2058,0
0,116,2048,2058,0
0,117,2048,2057,0
0,118,2049,2057,0
0,119,2049,2056,0
0,120,2050,2056,0
0,121,2050,2057,0
0,122,2050,2058,0
0,123,2049,2058,0
0,124,2049,2059,0
0,125,2048,2059,0
0,126,2048,2060,0
0,127,2049,2060,0
0,128,2049,2061,0
0,129,2050,2061,0
0,130,2050,2062,0
0,131,2049,2062,0
0,132,2048,2062,0
0,133,2048,2063,0
0,134,2048,2064,0
0,135,2048,2065,0
0,136,2048,2066,0
0,137,2049,2066,0
0,138,2049,2065,0
0,139,2050,2065,0
0,140,2050,2066,0
0,141,2051,2066,0
0,142,2051,2065,0
0,143,2051,2064,0
0,144,2052,2064,0
0,145,2053,2064,0
0,146,2053,2065,0
0,147,2052,2065,0
0,148,2052,2066,0
0,149,2053,2066,0
0,150,2054,2066,0
0,151,2055,2066,0
0,152,2055,2067,0
0,153,2056,2067,0
0,154,2056,2068,0
0,155,2057,2068,0
0,156,2057,2067,0
0,157,2057,2066,0
0,158,2056,2066,0
0,159,2056,2065,0
0,160,2057,2065,0
0,161,2058,2065,0
0,162,2058,2066,0
0,163,2058,2067,0
0,164,2059,2067,0
0,165,2060,2067,0
0,166,2060,2066,0
0,167,2059,2066,0
0,168,2059,2065,0
0,169,2060,2065,0
0,170,2061,2065,0
0,171,2061,2064,0
0,172,2060,2064,0
0,173,2060,2063,0
0,174,2061,2063,0
0,175,2061,2062,0
0,176,2060,2062,0
0,177,2059,2062,0
0,178,2058,2062,0
0,179,2058,2061,0
0,180,2059,2061,0
0,181,2059,2060,0
0,182,2059,2059,0
0,183,2058,2059,0
0,184,2057,2059,0
0,185,2057,2058,0
0,186,2057,2057,0
0,187,2058,2057,0
0,188,2058,2058,0
0,189,2059,2058,0
0,190,2060,2058,0
0,191,2060,2057,0
0,192,2061,2057,0
0,193,2061,2058,0
0,194,2061,2059,0
0,195,2061,2060,0
0,196,2060,2060,0
0,197,2060,2059,0
