step,n_alive,survival_probability,mean_r2,std_r2,variance_r2,standard_error_r2,relative_standard_error_r2,min_r2,max_r2,coefficient_of_variation,sample_mode,reservoir_size,reservoir_stored_count,quantile_source,median_r2,q10_r2,q25_r2,q75_r2,q90_r2,q95_r2,q99_r2,fit_eligible
10,99017,0.99017,21.8349172364,14.6876344375,215.7266053683,0.0466763591,0.0021376934,2.0,100.0,0.6726672823,reservoir,20000,20000,reservoir,20.0,4.0,10.0,34.0,40.0,50.0,58.0,0
20,91257,0.91257,52.4346844626,38.3800597147,1473.0289837023,0.1270493807,0.0024230027,2.0,250.0,0.7319593912,reservoir,20000,20000,reservoir,50.0,10.0,20.0,74.0,104.0,130.0,170.0,0
50,58226,0.58226,171.4260639577,130.8624263737,17124.9746364162,0.5423210858,0.0031635859,2.0,916.0,0.7633753197,reservoir,20000,20000,reservoir,144.0,32.0,72.0,244.0,356.0,436.0,580.0,0
100,22221,0.22221,431.6985734215,330.5881201397,109288.5051775328,2.2177135155,0.0051371806,2.0,2536.0,0.7657846018,reservoir,20000,20000,reservoir,360.0,80.0,178.0,610.0,884.0,1076.0,1476.0399999999936,0
150,7806,0.07806,769.7978478094,580.5916747263,337086.6927615425,6.5713792274,0.0085364999,2.0,3898.0,0.7542131696,reservoir,20000,7806,reservoir,650.0,130.0,325.0,1082.0,1570.0,1882.0,2553.0999999999967,0
200,2601,0.02601,1154.0153787005,871.4834018864,759483.3197634063,17.0879098409,0.0148073502,2.0,6344.0,0.7551748599,reservoir,20000,2601,reservoir,962.0,212.0,488.0,1616.0,2404.0,2888.0,3860.0,0
250,883,0.00883,1641.0826727067,1217.3140896789,1481853.5929307167,40.9658807973,0.0249627161,2.0,8612.0,0.741774994,reservoir,20000,883,reservoir,1370.0,328.0,720.0,2317.0,3400.0,3858.2,5203.44,0
300,270,0.0027,2137.2074074074,1697.1042584018,2880162.863885445,103.282476085,0.0483259022,2.0,10858.0,0.7940756019,reservoir,20000,270,reservoir,1719.0,407.80000000000007,903.5,2979.5,4181.2,5244.199999999993,8197.54,0
350,88,0.00088,2705.8863636364,1976.2645213136,3905621.458202718,210.6705058261,0.0778563759,100.0,10324.0,0.7303575449,reservoir,20000,88,reservoir,2289.0,478.00000000000006,1410.5,3264.5,5655.4,6434.099999999998,8115.939999999989,0
400,37,0.00037,3068.8108108108,2031.6861885559,4127748.7687687697,334.0071519209,0.1088392777,18.0,8264.0,0.66204348,reservoir,20000,37,reservoir,2756.0,1006.0,1538.0,4160.0,5899.2,6342.399999999995,7892.4800000000005,0
