final_step,count,probability,geometric_fit
1,2520,0.252,0.27970463190870437
2,1892,0.1892,0.20146995079752056
3,1687,0.1687,0.14511787236903526
4,1162,0.1162,0.10452773129467992
5,831,0.0831,0.0752908406886495
6,567,0.0567,0.05423164380773389
7,431,0.0431,0.03906280183868771
8,282,0.0282,0.028136755229074904
9,211,0.0211,0.020266774464621194
10,139,0.0139,0.01459806377301759
11,85,0.0085,0.010514917718805914
12,81,0.0081,0.007573846528716991
13,36,0.0036,0.005455406573269186
14,18,0.0018,0.003929504085780602
15,19,0.0019,0.002830403591883589
16,9,0.0009,0.0020387265970627146
17,11,0.0011,0.0014684853246688025
18,4,0.0004,0.0010577431774689808
19,6,0.0006,0.0007618875113610761
20,4,0.0004,0.0005487840454399874
21,2,0.0002,0.00039528660601282603
22,1,0.0001,0.0002847231113795674
23,1,0.0001,0.0002050847383152445
24,1,0.0001,0.00014772158707468606
