step,mean_r2,mean_r,std_r2,std_r,n_alive,trapped_rate,mean_rg2,std_rg2,mean_r2_all,mean_rg2_all,min_r2,max_r2,se_r2,cv_r2
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,1.0000000000,1.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.2500000000,0.0000000000,1.0000000000,0.2500000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
2,2.6598000000,1.6074645081,0.9403531039,0.2754230474,10000,0.0000000000,0.5177555556,0.1044836782,2.6598000000,0.5177555556,2.0000000000,4.0000000000,0.0094035310,0.3535427866
3,4.5236000000,2.0355953457,2.2996180205,0.6164021323,10000,0.0000000000,0.8033500000,0.2161322570,4.5236000000,0.8033500000,1.0000000000,9.0000000000,0.0229961802,0.5083601602
4,6.7192000000,2.4883974444,3.6057109368,0.7260014867,10000,0.0000000000,1.1276240000,0.3141303466,6.7192000000,1.1276240000,2.0000000000,16.0000000000,0.0360571094,0.5366280118
5,9.0200000000,2.8536793070,5.2272746245,0.9362234843,10000,0.0000000000,1.4718222222,0.4361049121,9.0200000000,1.4718222222,1.0000000000,25.0000000000,0.0522727462,0.5795204683
6,11.4722000000,3.2162327519,6.8828647495,1.0620955164,10000,0.0000000000,1.8378857143,0.5646094650,11.4722000000,1.8378857143,2.0000000000,36.0000000000,0.0688286475,0.5999603171
7,13.9156000000,3.5142089386,8.7422695360,1.2513734598,10000,0.0000000000,2.2129250000,0.7093374543,13.9156000000,2.2129250000,1.0000000000,49.0000000000,0.0874226954,0.6282351847
8,16.4689475268,3.8227326054,10.5680732252,1.3622272038,9967,0.0033000000,2.6050782397,0.8549098159,16.4179000000,2.6005033565,2.0000000000,64.0000000000,0.1058555382,0.6416969395
9,19.1552695093,4.1012530109,12.6462492885,1.5280684703,9944,0.0056000000,3.0112711183,1.0173895862,19.0583000000,3.0017335787,1.0000000000,81.0000000000,0.1268180820,0.6601968864
10,22.0179834310,4.3950414831,14.8632644300,1.6436525766,9898,0.0102000000,3.4379397123,1.1927898294,21.8187000000,3.4180043060,2.0000000000,100.0000000000,0.1493965194,0.6750511225
11,24.7862502535,4.6483619418,17.0397718391,1.7829698572,9862,0.0138000000,3.8675288425,1.3729187383,24.4887000000,3.8364753000,1.0000000000,121.0000000000,0.1715857733,0.6874687242
12,27.6495203103,4.9051561015,19.2636239284,1.8944561041,9798,0.0202000000,4.3072176305,1.5541209896,27.1727000000,4.2571649121,2.0000000000,122.0000000000,0.1946118467,0.6967073465
13,30.5005134525,5.1401502301,21.4432111858,2.0197448019,9738,0.0262000000,4.7518505246,1.7393177670,29.8361000000,4.6801974263,1.0000000000,125.0000000000,0.2172976040,0.7030442690
14,33.3974930074,5.3829978446,23.5668108500,2.1025763274,9653,0.0347000000,5.2085546232,1.9227799141,32.4382000000,5.1052248979,2.0000000000,148.0000000000,0.2398665358,0.7056461048
15,36.4714300637,5.6163881702,25.9748076734,2.2198229625,9573,0.0427000000,5.6735071947,2.1159790256,35.1963000000,5.5346884466,1.0000000000,173.0000000000,0.2654778618,0.7121960293
16,39.6035827187,5.8508942328,28.4727675306,2.3174596859,9490,0.0510000000,6.1483856618,2.3185777498,37.9667000000,5.9681720646,2.0000000000,200.0000000000,0.2922783023,0.7189442363
17,42.8312074830,6.0754658997,31.0908053249,2.4330888978,9408,0.0592000000,6.6308382149,2.5328789249,40.8079000000,6.4048743458,1.0000000000,205.0000000000,0.3205408004,0.7258914038
18,46.3315392896,6.3234633796,33.6595166840,2.5189978516,9290,0.0710000000,7.1372458397,2.7519308919,43.7221000000,6.8476788173,2.0000000000,234.0000000000,0.3492207323,0.7264925189
19,49.6854531607,6.5410380242,36.2361265159,2.6268374002,9191,0.0809000000,7.6424230225,2.9742495451,46.5258000000,7.2886974073,1.0000000000,265.0000000000,0.3779726576,0.7293105771
20,53.1821086262,6.7688663893,38.9047474433,2.7137716246,9077,0.0923000000,8.1590054552,3.1985217966,49.3467000000,7.7306391590,2.0000000000,298.0000000000,0.4083489401,0.7315382644
21,56.7142857143,6.9894105122,41.3699700043,2.8040018557,8974,0.1026000000,8.6810643972,3.4229070208,52.2035000000,8.1742313377,1.0000000000,293.0000000000,0.4367090313,0.7294453149
22,60.1635830325,7.2024400943,43.8950879485,2.8789650434,8864,0.1136000000,9.2175934772,3.6438432100,54.8393000000,8.6155541299,2.0000000000,290.0000000000,0.4662308960,0.7295956413
23,63.4072892938,7.3861671493,46.4822296040,2.9752015288,8780,0.1220000000,9.7399780119,3.8725814614,57.4085000000,9.0532820455,1.0000000000,289.0000000000,0.4960662648,0.7330739119
24,66.7464269249,7.5808319871,48.9162942453,3.0458846512,8676,0.1324000000,10.2710255417,4.1006327083,59.9617000000,9.4881967221,2.0000000000,306.0000000000,0.5251625846,0.7328676080
