trial,step,x,y,z
0,0,256,256,0
0,1,255,256,0
0,2,255,255,0
0,3,256,255,0
0,4,257,255,0
0,5,257,256,0
0,6,258,256,0
0,7,258,257,0
0,8,258,258,0
0,9,259,258,0
0,10,259,259,0
0,11,258,259,0
0,12,257,259,0
0,13,257,260,0
0,14,258,260,0
0,15,258,261,0
0,16,259,261,0
0,17,259,260,0
0,18,260,260,0
0,19,261,260,0
0,20,262,260,0
0,21,263,260,0
0,22,264,260,0
0,23,265,260,0
0,24,265,261,0
0,25,265,262,0
0,26,265,263,0
0,27,266,263,0
0,28,266,262,0
0,29,266,261,0
0,30,267,261,0
0,31,268,261,0
0,32,269,261,0
0,33,269,262,0
0,34,268,262,0
0,35,268,263,0
0,36,269,263,0
0,37,270,263,0
0,38,270,264,0
0,39,270,265,0
0,40,271,265,0
0,41,271,264,0
0,42,272,264,0
0,43,272,265,0
0,44,273,265,0
0,45,273,266,0
0,46,274,266,0
0,47,274,265,0
0,48,274,264,0
0,49,273,264,0
0,50,273,263,0
0,51,272,263,0
0,52,272,262,0
0,53,273,262,0
0,54,273,261,0
0,55,272,261,0
0,56,272,260,0
0,57,271,260,0
0,58,271,259,0
0,59,272,259,0
0,60,273,259,0
0,61,273,260,0
0,62,274,260,0
0,63,274,259,0
0,64,275,259,0
0,65,276,259,0
0,66,276,258,0
0,67,275,258,0
0,68,275,257,0
0,69,276,257,0
0,70,276,256,0
0,71,277,256,0
0,72,277,257,0
0,73,277,258,0
0,74,278,258,0
0,75,278,257,0
0,76,278,256,0
0,77,279,256,0
0,78,279,255,0
0,79,279,254,0
0,80,279,253,0
0,81,280,253,0
0,82,280,254,0
0,83,281,254,0
0,84,281,255,0
0,85,282,255,0
0,86,283,255,0
0,87,284,255,0
0,88,284,256,0
0,89,285,256,0
0,90,285,257,0
0,91,284,257,0
0,92,284,258,0
0,93,285,258,0
0,94,285,259,0
0,95,285,260,0
0,96,286,260,0
0,97,287,260,0
0,98,287,261,0
0,99,286,261,0
0,100,285,261,0
0,101,284,261,0
0,102,284,262,0
0,103,284,263,0
0,104,283,263,0
0,105,283,262,0
0,106,282,262,0
0,107,281,262,0
0,108,281,261,0
0,109,281,260,0
0,110,280,260,0
0,111,280,259,0
0,112,280,258,0
0,113,281,258,0
0,114,281,259,0
0,115,282,259,0
0,116,283,259,0
0,117,283,258,0
0,118,282,258,0
0,119,282,257,0
0,120,282,256,0
0,121,283,256,0
0,122,283,257,0
