step,mean_r2,mean_r,std_r2,std_r,n_alive,trapped_rate,mean_rg2,std_rg2,mean_r2_all,mean_rg2_all,min_r2,max_r2,se_r2,cv_r2
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,1.0000000000,1.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.2500000000,0.0000000000,1.0000000000,0.2500000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
2,2.6776000000,1.6126780074,0.9466035284,0.2772537544,10000,0.0000000000,0.5197333333,0.1051781698,2.6776000000,0.5197333333,2.0000000000,4.0000000000,0.0094660353,0.3535268630
3,4.5680000000,2.0500711177,2.2582683631,0.6043247573,10000,0.0000000000,0.8072500000,0.2127878932,4.5680000000,0.8072500000,1.0000000000,9.0000000000,0.0225826836,0.4943669797
4,6.6970000000,2.4836779802,3.6085718782,0.7268725408,10000,0.0000000000,1.1267200000,0.3137606119,6.6970000000,1.1267200000,2.0000000000,16.0000000000,0.0360857188,0.5388340866
5,8.9824000000,2.8447378373,5.2498847835,0.9433274284,10000,0.0000000000,1.4670000000,0.4385130740,8.9824000000,1.4670000000,1.0000000000,25.0000000000,0.0524988478,0.5844634823
6,11.4086000000,3.2050239772,6.8798434604,1.0660306308,10000,0.0000000000,1.8275183673,0.5649318946,11.4086000000,1.8275183673,2.0000000000,36.0000000000,0.0687984346,0.6030401154
7,13.8924000000,3.5078344714,8.7977509762,1.2599592539,10000,0.0000000000,2.1992187500,0.7118522103,13.8924000000,2.1992187500,1.0000000000,49.0000000000,0.0879775098,0.6332779776
8,16.5653483236,3.8339048276,10.6637006225,1.3662071938,9962,0.0038000000,2.5952248173,0.8622888052,16.5062000000,2.5899942130,2.0000000000,64.0000000000,0.1068401958,0.6437353694
9,19.1899778627,4.1049127921,12.7005597646,1.5295976047,9938,0.0062000000,2.9978406118,1.0230808430,19.0808000000,2.9872037685,1.0000000000,81.0000000000,0.1274011553,0.6618329555
10,21.9494336570,4.3890543048,14.7639692943,1.6387910075,9888,0.0112000000,3.4155232822,1.1858676161,21.7264000000,3.3938171900,2.0000000000,82.0000000000,0.1484734857,0.6726355461
11,24.7328996849,4.6415791592,17.0261991801,1.7856770688,9839,0.0161000000,3.8431370058,1.3605700145,24.3823000000,3.8075177065,1.0000000000,85.0000000000,0.1716493762,0.6884028722
12,27.7170641826,4.9162726833,19.2640783706,1.8834349170,9769,0.0231000000,4.2892472929,1.5419870828,27.1598000000,4.2318222759,2.0000000000,104.0000000000,0.1949050903,0.6950259322
13,30.7256518602,5.1622758270,21.6319872369,2.0190493174,9703,0.0297000000,4.7443284951,1.7344046566,29.9457000000,4.6618063449,1.0000000000,125.0000000000,0.2196055958,0.7040367226
14,33.7307292749,5.4105087109,23.8809422488,2.1111903667,9626,0.0374000000,5.2055894914,1.9286787765,32.6795000000,5.0925690342,2.0000000000,148.0000000000,0.2434044589,0.7079877240
15,36.8094440373,5.6398304809,26.2900495210,2.2364606378,9551,0.0449000000,5.6735641229,2.1295223075,35.4578000000,5.5260150168,1.0000000000,153.0000000000,0.2690091063,0.7142202282
16,39.9553391893,5.8767878163,28.6377507798,2.3278110215,9449,0.0551000000,6.1549157909,2.3325659273,38.1879000000,5.9618496351,2.0000000000,178.0000000000,0.2946089802,0.7167440287
17,43.2221272960,6.1019872070,31.2307180585,2.4470143894,9364,0.0636000000,6.6452225756,2.5444878220,41.0383000000,6.4028305185,1.0000000000,205.0000000000,0.3227388649,0.7225631872
18,46.4841492344,6.3344176209,33.6864197082,2.5217657779,9274,0.0726000000,7.1431494357,2.7600306206,43.7999000000,6.8437866880,2.0000000000,212.0000000000,0.3498012117,0.7246861621
19,49.7007203667,6.5427064220,36.2745319670,2.6255881326,9162,0.0838000000,7.6451528051,2.9822643262,46.4653000000,7.2817704248,1.0000000000,241.0000000000,0.3789716075,0.7298592797
20,53.0138289634,6.7627754919,38.5325428895,2.6979059675,9039,0.0961000000,8.1599453514,3.1932335149,49.1070000000,7.7178140280,2.0000000000,256.0000000000,0.4052914829,0.7268394614
21,56.2983240223,6.9654001001,40.9907817336,2.7895385762,8950,0.1050000000,8.6707719655,3.4052354543,51.7668000000,8.1532991548,1.0000000000,261.0000000000,0.4332860264,0.7280995029
22,59.8075966539,7.1777774343,43.8743459557,2.8787337072,8846,0.1154000000,9.1949480440,3.6252331589,54.5320000000,8.5893836655,2.0000000000,274.0000000000,0.4664844678,0.7335915237
23,63.1455956184,7.3714973071,46.3496403706,2.9675955030,8764,0.1236000000,9.7179944628,3.8433158337,57.1992000000,9.0253043341,1.0000000000,293.0000000000,0.4951025742,0.7340122445
24,66.5174405174,7.5658117470,48.9287811580,3.0456416608,8658,0.1342000000,10.2497145761,4.0654849540,59.7846000000,9.4593308252,2.0000000000,296.0000000000,0.5258424063,0.7355782300
